"Time","Panel 1","Panel 2","Panel 3"
2026-03-09 23:00:00,5.73 Wh,6.02 Wh,7.43 mWh
2026-03-10 00:00:00,5.72 Wh,6.02 Wh,0 Wh
2026-03-10 01:00:00,5.72 Wh,5.97 Wh,0 Wh
2026-03-10 02:00:00,5.70 Wh,5.97 Wh,4.81 mWh
2026-03-10 03:00:00,5.70 Wh,5.97 Wh,0 Wh
2026-03-10 04:00:00,5.67 Wh,5.94 Wh,0 Wh
2026-03-10 05:00:00,5.69 Wh,5.94 Wh,12.4 mWh
2026-03-10 06:00:00,5.66 Wh,5.92 Wh,0 Wh
2026-03-10 07:00:00,5.65 Wh,6.63 Wh,122 mWh
2026-03-10 08:00:00,7.50 Wh,24.6 Wh,7.48 Wh
2026-03-10 09:00:00,8.76 Wh,47.8 Wh,16.4 Wh
2026-03-10 10:00:00,16.1 Wh,87.5 Wh,26.9 Wh
2026-03-10 11:00:00,9.92 Wh,95.5 Wh,30.5 Wh
2026-03-10 12:00:00,11.8 Wh,122 Wh,36.6 Wh
2026-03-10 13:00:00,14.8 Wh,125 Wh,37.3 Wh
2026-03-10 14:00:00,18.6 Wh,120 Wh,36.5 Wh
2026-03-10 15:00:00,9.55 Wh,78.0 Wh,26.7 Wh
2026-03-10 16:00:00,18.1 Wh,62.7 Wh,22.7 Wh
2026-03-10 17:00:00,15.8 Wh,43.4 Wh,15.7 Wh
2026-03-10 18:00:00,8.61 Wh,19.4 Wh,6.93 Wh
2026-03-10 19:00:00,5.61 Wh,6.12 Wh,0 Wh
2026-03-10 20:00:00,5.63 Wh,5.89 Wh,10.4 mWh
2026-03-10 21:00:00,5.61 Wh,5.85 Wh,0 Wh
2026-03-10 22:00:00,5.57 Wh,5.90 Wh,0 Wh
2026-03-10 23:00:00,5.57 Wh,5.85 Wh,30.3 mWh
2026-03-11 00:00:00,5.57 Wh,5.83 Wh,0 Wh
2026-03-11 01:00:00,5.55 Wh,5.81 Wh,0 Wh
2026-03-11 02:00:00,5.52 Wh,5.80 Wh,0 Wh
2026-03-11 03:00:00,5.51 Wh,5.79 Wh,0 Wh
2026-03-11 04:00:00,5.49 Wh,5.76 Wh,0 Wh
2026-03-11 05:00:00,5.45 Wh,5.73 Wh,12.4 mWh
2026-03-11 06:00:00,5.42 Wh,5.74 Wh,0 Wh
2026-03-11 07:00:00,5.54 Wh,7.38 Wh,428 mWh
2026-03-11 08:00:00,9.47 Wh,26.0 Wh,8.75 Wh
2026-03-11 09:00:00,18.7 Wh,63.3 Wh,21.9 Wh
2026-03-11 10:00:00,22.4 Wh,94.7 Wh,29.5 Wh
2026-03-11 11:00:00,16.8 Wh,110 Wh,33.7 Wh
2026-03-11 12:00:00,12.6 Wh,127 Wh,38.3 Wh
2026-03-11 13:00:00,8.94 Wh,130 Wh,39.1 Wh
2026-03-11 14:00:00,21.9 Wh,123 Wh,37.8 Wh
2026-03-11 15:00:00,34.8 Wh,106 Wh,34.1 Wh
2026-03-11 16:00:00,27.3 Wh,79.9 Wh,26.8 Wh
2026-03-11 17:00:00,16.3 Wh,46.5 Wh,17.3 Wh
2026-03-11 18:00:00,8.11 Wh,18.6 Wh,6.44 Wh
2026-03-11 19:00:00,5.47 Wh,5.89 Wh,6.43 mWh
2026-03-11 20:00:00,5.45 Wh,5.74 Wh,17.8 mWh
2026-03-11 21:00:00,5.44 Wh,5.72 Wh,0 Wh
2026-03-11 22:00:00,5.41 Wh,5.73 Wh,0 Wh
2026-03-11 23:00:00,5.40 Wh,5.69 Wh,0 Wh
2026-03-12 00:00:00,5.36 Wh,5.68 Wh,0 Wh
2026-03-12 01:00:00,5.37 Wh,5.64 Wh,0 Wh
2026-03-12 02:00:00,5.39 Wh,5.65 Wh,0 Wh
2026-03-12 03:00:00,5.35 Wh,5.66 Wh,0 Wh
2026-03-12 04:00:00,5.31 Wh,5.64 Wh,0 Wh
2026-03-12 05:00:00,5.34 Wh,5.63 Wh,0 Wh
2026-03-12 06:00:00,5.22 Wh,5.62 Wh,0 Wh
2026-03-12 07:00:00,5.35 Wh,7.58 Wh,882 mWh
2026-03-12 08:00:00,10.5 Wh,27.3 Wh,10.4 Wh
2026-03-12 09:00:00,19.9 Wh,60.1 Wh,19.9 Wh
2026-03-12 10:00:00,27.9 Wh,88.4 Wh,32.5 Wh
2026-03-12 11:00:00,35.8 Wh,108 Wh,37.2 Wh
2026-03-12 12:00:00,38.2 Wh,122 Wh,40.6 Wh
2026-03-12 13:00:00,30.5 Wh,125 Wh,40.5 Wh
2026-03-12 14:00:00,12.9 Wh,108 Wh,34.6 Wh
2026-03-12 15:00:00,20.0 Wh,102 Wh,33.0 Wh
2026-03-12 16:00:00,7.94 Wh,25.0 Wh,4.93 Wh
2026-03-12 17:00:00,,,
