"Time","Motor"
2026-05-06 10:00:00,0 Wh
2026-05-06 10:10:00,0 Wh
2026-05-06 10:20:00,0 Wh
2026-05-06 10:30:00,0 Wh
2026-05-06 10:40:00,162 mWh
2026-05-06 10:50:00,0 Wh
2026-05-06 11:00:00,16.8 Wh
2026-05-06 11:10:00,107 Wh
2026-05-06 11:20:00,134 Wh
2026-05-06 11:30:00,133 Wh
2026-05-06 11:40:00,138 Wh
2026-05-06 11:50:00,120 Wh
2026-05-06 12:00:00,113 Wh
2026-05-06 12:10:00,114 Wh
2026-05-06 12:20:00,116 Wh
2026-05-06 12:30:00,114 Wh
2026-05-06 12:40:00,116 Wh
2026-05-06 12:50:00,126 Wh
2026-05-06 13:00:00,143 Wh
2026-05-06 13:10:00,141 Wh
2026-05-06 13:20:00,141 Wh
2026-05-06 13:30:00,140 Wh
2026-05-06 13:40:00,142 Wh
2026-05-06 13:50:00,142 Wh
2026-05-06 14:00:00,143 Wh
2026-05-06 14:10:00,143 Wh
2026-05-06 14:20:00,143 Wh
2026-05-06 14:30:00,144 Wh
2026-05-06 14:40:00,144 Wh
2026-05-06 14:50:00,144 Wh
2026-05-06 15:00:00,145 Wh
2026-05-06 15:10:00,143 Wh
2026-05-06 15:20:00,145 Wh
2026-05-06 15:30:00,146 Wh
2026-05-06 15:40:00,147 Wh
2026-05-06 15:50:00,148 Wh
2026-05-06 16:00:00,145 Wh
2026-05-06 16:10:00,144 Wh
2026-05-06 16:20:00,147 Wh
2026-05-06 16:30:00,148 Wh
2026-05-06 16:40:00,147 Wh
2026-05-06 16:50:00,148 Wh
2026-05-06 17:00:00,148 Wh
2026-05-06 17:10:00,147 Wh
2026-05-06 17:20:00,148 Wh
2026-05-06 17:30:00,149 Wh
2026-05-06 17:40:00,148 Wh
2026-05-06 17:50:00,150 Wh
2026-05-06 18:00:00,149 Wh
2026-05-06 18:10:00,145 Wh
2026-05-06 18:20:00,132 Wh
2026-05-06 18:30:00,129 Wh
2026-05-06 18:40:00,143 Wh
2026-05-06 18:50:00,145 Wh
2026-05-06 19:00:00,143 Wh
2026-05-06 19:10:00,144 Wh
2026-05-06 19:20:00,144 Wh
2026-05-06 19:30:00,146 Wh
2026-05-06 19:40:00,146 Wh
2026-05-06 19:50:00,135 Wh
2026-05-06 20:00:00,127 Wh
2026-05-06 20:10:00,119 Wh
2026-05-06 20:20:00,100.0 Wh
2026-05-06 20:30:00,77.2 Wh
2026-05-06 20:40:00,64.9 Wh
2026-05-06 20:50:00,59.7 Wh
2026-05-06 21:00:00,60.4 Wh
2026-05-06 21:10:00,53.5 Wh
2026-05-06 21:20:00,49.3 Wh
2026-05-06 21:30:00,49.2 Wh
2026-05-06 21:40:00,48.8 Wh
2026-05-06 21:50:00,48.6 Wh
2026-05-06 22:00:00,43.9 Wh
2026-05-06 22:10:00,38.7 Wh
2026-05-06 22:20:00,32.0 Wh
2026-05-06 22:30:00,31.9 Wh
2026-05-06 22:40:00,31.8 Wh
2026-05-06 22:50:00,31.7 Wh
2026-05-06 23:00:00,30.4 Wh
2026-05-06 23:10:00,7.36 Wh
2026-05-06 23:20:00,0 Wh
2026-05-06 23:30:00,0 Wh
2026-05-06 23:40:00,0 Wh
2026-05-06 23:50:00,0 Wh
2026-05-07 00:00:00,0 Wh
2026-05-07 00:10:00,0 Wh
2026-05-07 00:20:00,0 Wh
2026-05-07 00:30:00,0 Wh
2026-05-07 00:40:00,0 Wh
2026-05-07 00:50:00,13.8 Wh
2026-05-07 01:00:00,56.6 Wh
2026-05-07 01:10:00,58.9 Wh
2026-05-07 01:20:00,58.1 Wh
2026-05-07 01:30:00,57.7 Wh
2026-05-07 01:40:00,57.2 Wh
2026-05-07 01:50:00,27.0 Wh
2026-05-07 02:00:00,25.5 Wh
2026-05-07 02:10:00,25.4 Wh
2026-05-07 02:20:00,40.1 Wh
2026-05-07 02:30:00,43.4 Wh
2026-05-07 02:40:00,43.9 Wh
2026-05-07 02:50:00,44.2 Wh
2026-05-07 03:00:00,44.0 Wh
2026-05-07 03:10:00,43.7 Wh
2026-05-07 03:20:00,43.1 Wh
2026-05-07 03:30:00,43.3 Wh
2026-05-07 03:40:00,42.8 Wh
2026-05-07 03:50:00,42.8 Wh
2026-05-07 04:00:00,43.2 Wh
2026-05-07 04:10:00,43.3 Wh
2026-05-07 04:20:00,44.6 Wh
2026-05-07 04:30:00,44.6 Wh
2026-05-07 04:40:00,45.1 Wh
2026-05-07 04:50:00,45.3 Wh
2026-05-07 05:00:00,45.0 Wh
2026-05-07 05:10:00,45.1 Wh
2026-05-07 05:20:00,45.3 Wh
2026-05-07 05:30:00,44.3 Wh
2026-05-07 05:40:00,44.5 Wh
2026-05-07 05:50:00,44.7 Wh
2026-05-07 06:00:00,44.9 Wh
2026-05-07 06:10:00,45.2 Wh
2026-05-07 06:20:00,5.85 Wh
2026-05-07 06:30:00,0 Wh
2026-05-07 06:40:00,0 Wh
2026-05-07 06:50:00,0 Wh
2026-05-07 07:00:00,0 Wh
2026-05-07 07:10:00,0 Wh
2026-05-07 07:20:00,0 Wh
2026-05-07 07:30:00,0 Wh
2026-05-07 07:40:00,0 Wh
2026-05-07 07:50:00,0 Wh
2026-05-07 08:00:00,0 Wh
2026-05-07 08:10:00,0 Wh
2026-05-07 08:20:00,0 Wh
2026-05-07 08:30:00,0 Wh
2026-05-07 08:40:00,0 Wh
2026-05-07 08:50:00,0 Wh
2026-05-07 09:00:00,0 Wh
2026-05-07 09:10:00,0 Wh
2026-05-07 09:20:00,0 Wh
2026-05-07 09:30:00,0 Wh
2026-05-07 09:40:00,0 Wh
2026-05-07 09:50:00,26.8 Wh
2026-05-07 10:00:00,43.0 Wh
2026-05-07 10:10:00,44.2 Wh
2026-05-07 10:20:00,43.6 Wh
2026-05-07 10:30:00,44.3 Wh
2026-05-07 10:40:00,43.8 Wh
2026-05-07 10:50:00,43.8 Wh
2026-05-07 11:00:00,43.8 Wh
2026-05-07 11:10:00,44.4 Wh
2026-05-07 11:20:00,45.3 Wh
2026-05-07 11:30:00,45.0 Wh
2026-05-07 11:40:00,45.4 Wh
2026-05-07 11:50:00,46.3 Wh
2026-05-07 12:00:00,47.1 Wh
2026-05-07 12:10:00,84.9 Wh
2026-05-07 12:20:00,97.1 Wh
2026-05-07 12:30:00,74.5 Wh
2026-05-07 12:40:00,71.4 Wh
2026-05-07 12:50:00,71.1 Wh
2026-05-07 13:00:00,70.2 Wh
2026-05-07 13:10:00,71.6 Wh
2026-05-07 13:20:00,76.6 Wh
2026-05-07 13:30:00,76.8 Wh
2026-05-07 13:40:00,76.9 Wh
2026-05-07 13:50:00,77.5 Wh
2026-05-07 14:00:00,74.9 Wh
2026-05-07 14:10:00,38.8 Wh
2026-05-07 14:20:00,38.2 Wh
2026-05-07 14:30:00,37.9 Wh
2026-05-07 14:40:00,37.8 Wh
2026-05-07 14:50:00,37.7 Wh
2026-05-07 15:00:00,37.8 Wh
2026-05-07 15:10:00,37.9 Wh
2026-05-07 15:20:00,38.0 Wh
2026-05-07 15:30:00,37.9 Wh
2026-05-07 15:40:00,37.8 Wh
2026-05-07 15:50:00,38.1 Wh
2026-05-07 16:00:00,37.7 Wh
2026-05-07 16:10:00,37.8 Wh
2026-05-07 16:20:00,37.7 Wh
2026-05-07 16:30:00,37.6 Wh
2026-05-07 16:40:00,37.2 Wh
2026-05-07 16:50:00,37.8 Wh
2026-05-07 17:00:00,38.1 Wh
2026-05-07 17:10:00,37.2 Wh
2026-05-07 17:20:00,37.9 Wh
2026-05-07 17:30:00,42.7 Wh
2026-05-07 17:40:00,46.1 Wh
2026-05-07 17:50:00,46.1 Wh
2026-05-07 18:00:00,46.0 Wh
2026-05-07 18:10:00,45.5 Wh
2026-05-07 18:20:00,46.1 Wh
2026-05-07 18:30:00,45.6 Wh
2026-05-07 18:40:00,45.7 Wh
2026-05-07 18:50:00,45.2 Wh
2026-05-07 19:00:00,45.1 Wh
2026-05-07 19:10:00,44.7 Wh
2026-05-07 19:20:00,44.7 Wh
2026-05-07 19:30:00,44.9 Wh
2026-05-07 19:40:00,44.6 Wh
2026-05-07 19:50:00,44.3 Wh
2026-05-07 20:00:00,44.9 Wh
2026-05-07 20:10:00,44.2 Wh
2026-05-07 20:20:00,44.2 Wh
2026-05-07 20:30:00,44.0 Wh
2026-05-07 20:40:00,44.1 Wh
2026-05-07 20:50:00,45.3 Wh
2026-05-07 21:00:00,45.2 Wh
2026-05-07 21:10:00,45.1 Wh
2026-05-07 21:20:00,44.8 Wh
2026-05-07 21:30:00,44.5 Wh
2026-05-07 21:40:00,44.5 Wh
2026-05-07 21:50:00,45.1 Wh
2026-05-07 22:00:00,44.8 Wh
2026-05-07 22:10:00,45.2 Wh
2026-05-07 22:20:00,45.1 Wh
2026-05-07 22:30:00,44.8 Wh
2026-05-07 22:40:00,45.3 Wh
2026-05-07 22:50:00,44.9 Wh
2026-05-07 23:00:00,44.3 Wh
2026-05-07 23:10:00,44.4 Wh
2026-05-07 23:20:00,44.7 Wh
2026-05-07 23:30:00,44.9 Wh
2026-05-07 23:40:00,618 mWh
2026-05-07 23:50:00,0 Wh
2026-05-08 00:00:00,0 Wh
2026-05-08 00:10:00,0 Wh
2026-05-08 00:20:00,0 Wh
2026-05-08 00:30:00,0 Wh
2026-05-08 00:40:00,0 Wh
2026-05-08 00:50:00,0 Wh
