"Time","POB"
2026-05-06 08:00:00,29.2 V
2026-05-06 11:00:00,29.0 V
2026-05-06 14:00:00,28.9 V
2026-05-06 17:00:00,28.6 V
2026-05-06 20:00:00,28.5 V
2026-05-06 23:00:00,28.5 V
2026-05-07 02:00:00,28.5 V
2026-05-07 05:00:00,28.4 V
2026-05-07 08:00:00,28.4 V
2026-05-07 11:00:00,28.4 V
2026-05-07 14:00:00,28.4 V
2026-05-07 17:00:00,28.4 V
2026-05-07 20:00:00,28.4 V
2026-05-07 23:00:00,28.4 V
2026-05-08 02:00:00,28.3 V
2026-05-08 05:00:00,28.3 V
2026-05-08 08:00:00,28.3 V
2026-05-08 11:00:00,28.3 V
2026-05-08 14:00:00,28.3 V
2026-05-08 17:00:00,28.2 V
2026-05-08 20:00:00,28.1 V
2026-05-08 23:00:00,28.0 V
2026-05-09 02:00:00,27.9 V
2026-05-09 05:00:00,27.8 V
2026-05-09 08:00:00,27.7 V
2026-05-09 11:00:00,27.7 V
2026-05-09 14:00:00,27.5 V
2026-05-09 17:00:00,27.4 V
2026-05-09 20:00:00,27.2 V
2026-05-09 23:00:00,27.1 V
2026-05-10 02:00:00,26.9 V
2026-05-10 05:00:00,26.7 V
2026-05-10 08:00:00,26.6 V
2026-05-10 11:00:00,26.5 V
2026-05-10 14:00:00,26.5 V
2026-05-10 17:00:00,26.4 V
2026-05-10 20:00:00,26.2 V
2026-05-10 23:00:00,26.1 V
2026-05-11 02:00:00,26.0 V
2026-05-11 05:00:00,25.9 V
2026-05-11 08:00:00,25.8 V
2026-05-11 11:00:00,25.7 V
2026-05-11 14:00:00,25.6 V
2026-05-11 17:00:00,25.5 V
2026-05-11 20:00:00,25.4 V
2026-05-11 23:00:00,25.2 V
2026-05-12 02:00:00,25.1 V
2026-05-12 05:00:00,24.9 V
2026-05-12 08:00:00,24.8 V
