"Time","Min","Average","Max"
2026-05-06 10:00:00,0 kn,4.70 kn,6.67 kn
2026-05-06 10:30:00,6.67 kn,7.95 kn,10.3 kn
2026-05-06 11:00:00,6.80 kn,9.21 kn,12.5 kn
2026-05-06 11:30:00,11.9 kn,13.2 kn,14.7 kn
2026-05-06 12:00:00,13.7 kn,13.9 kn,14.1 kn
2026-05-06 12:30:00,13.5 kn,13.8 kn,14.1 kn
2026-05-06 13:00:00,13.9 kn,14.2 kn,14.4 kn
2026-05-06 13:30:00,14.2 kn,14.6 kn,14.9 kn
2026-05-06 14:00:00,14.0 kn,14.4 kn,14.9 kn
2026-05-06 14:30:00,14.1 kn,14.4 kn,14.6 kn
2026-05-06 15:00:00,14.1 kn,14.5 kn,14.9 kn
2026-05-06 15:30:00,14.0 kn,14.3 kn,14.7 kn
2026-05-06 16:00:00,13.7 kn,14.0 kn,14.7 kn
2026-05-06 16:30:00,14.5 kn,14.8 kn,15.1 kn
2026-05-06 17:00:00,14.9 kn,15.5 kn,16.2 kn
2026-05-06 17:30:00,15.4 kn,15.7 kn,16.2 kn
2026-05-06 18:00:00,14.9 kn,15.5 kn,15.8 kn
2026-05-06 18:30:00,13.7 kn,14.5 kn,15.3 kn
2026-05-06 19:00:00,13.5 kn,14.3 kn,15.0 kn
2026-05-06 19:30:00,14.1 kn,14.6 kn,15.2 kn
2026-05-06 20:00:00,14.3 kn,14.7 kn,15.2 kn
2026-05-06 20:30:00,13.3 kn,14.3 kn,15.2 kn
2026-05-06 21:00:00,12.7 kn,13.5 kn,14.2 kn
2026-05-06 21:30:00,12.2 kn,13.1 kn,14.1 kn
2026-05-06 22:00:00,10.9 kn,11.9 kn,12.7 kn
2026-05-06 22:30:00,10.2 kn,11.2 kn,12.1 kn
2026-05-06 23:00:00,10.3 kn,10.9 kn,11.8 kn
2026-05-06 23:30:00,9.89 kn,11.2 kn,12.3 kn
2026-05-07 00:00:00,9.51 kn,10.7 kn,11.7 kn
2026-05-07 00:30:00,9.19 kn,10.0 kn,11.3 kn
2026-05-07 01:00:00,9.97 kn,11.1 kn,12.3 kn
2026-05-07 01:30:00,9.21 kn,10.0 kn,10.9 kn
2026-05-07 02:00:00,9.23 kn,10.6 kn,11.2 kn
2026-05-07 02:30:00,9.17 kn,10.2 kn,11.1 kn
2026-05-07 03:00:00,11.1 kn,11.9 kn,12.7 kn
2026-05-07 03:30:00,10.1 kn,11.0 kn,12.7 kn
2026-05-07 04:00:00,10.1 kn,10.7 kn,11.3 kn
2026-05-07 04:30:00,9.70 kn,10.8 kn,12.1 kn
2026-05-07 05:00:00,11.0 kn,11.5 kn,12.1 kn
2026-05-07 05:30:00,9.74 kn,10.6 kn,12.1 kn
2026-05-07 06:00:00,10.3 kn,11.0 kn,11.4 kn
2026-05-07 06:30:00,9.72 kn,10.8 kn,12.3 kn
2026-05-07 07:00:00,10.4 kn,11.1 kn,12.2 kn
2026-05-07 07:30:00,9.43 kn,10.5 kn,11.2 kn
2026-05-07 08:00:00,10.2 kn,11.0 kn,11.9 kn
2026-05-07 08:30:00,10.2 kn,10.8 kn,11.3 kn
2026-05-07 09:00:00,10.2 kn,10.9 kn,11.4 kn
2026-05-07 09:30:00,10.2 kn,11.8 kn,13.0 kn
2026-05-07 10:00:00,10.5 kn,11.4 kn,12.2 kn
2026-05-07 10:30:00,10.9 kn,11.9 kn,12.8 kn
2026-05-07 11:00:00,10.8 kn,12.1 kn,13.4 kn
2026-05-07 11:30:00,10.0 kn,10.9 kn,12.2 kn
2026-05-07 12:00:00,10.8 kn,12.0 kn,12.6 kn
2026-05-07 12:30:00,11.0 kn,11.9 kn,12.9 kn
2026-05-07 13:00:00,11.5 kn,11.8 kn,12.2 kn
2026-05-07 13:30:00,11.5 kn,12.3 kn,13.0 kn
2026-05-07 14:00:00,11.4 kn,11.9 kn,12.6 kn
2026-05-07 14:30:00,12.1 kn,12.7 kn,13.0 kn
2026-05-07 15:00:00,12.1 kn,12.9 kn,14.3 kn
2026-05-07 15:30:00,14.1 kn,14.6 kn,15.1 kn
2026-05-07 16:00:00,13.6 kn,14.5 kn,15.2 kn
2026-05-07 16:30:00,15.1 kn,15.5 kn,16.3 kn
2026-05-07 17:00:00,14.0 kn,15.1 kn,15.5 kn
2026-05-07 17:30:00,12.5 kn,13.2 kn,14.0 kn
2026-05-07 18:00:00,12.2 kn,13.1 kn,14.1 kn
2026-05-07 18:30:00,11.6 kn,12.8 kn,13.6 kn
2026-05-07 19:00:00,12.8 kn,13.2 kn,14.0 kn
2026-05-07 19:30:00,12.5 kn,12.9 kn,13.3 kn
2026-05-07 20:00:00,12.2 kn,12.9 kn,14.0 kn
2026-05-07 20:30:00,12.6 kn,13.2 kn,14.1 kn
2026-05-07 21:00:00,12.6 kn,13.3 kn,13.7 kn
2026-05-07 21:30:00,12.7 kn,13.4 kn,14.0 kn
2026-05-07 22:00:00,13.2 kn,13.9 kn,14.5 kn
2026-05-07 22:30:00,13.7 kn,14.4 kn,15.4 kn
2026-05-07 23:00:00,13.9 kn,14.3 kn,14.8 kn
2026-05-07 23:30:00,14.4 kn,14.8 kn,15.6 kn
2026-05-08 00:00:00,14.0 kn,14.6 kn,15.2 kn
2026-05-08 00:30:00,13.6 kn,14.9 kn,16.0 kn
2026-05-08 01:00:00,13.3 kn,14.2 kn,15.7 kn
2026-05-08 01:30:00,12.8 kn,13.7 kn,14.3 kn
2026-05-08 02:00:00,13.3 kn,14.5 kn,15.9 kn
2026-05-08 02:30:00,13.4 kn,14.8 kn,15.9 kn
2026-05-08 03:00:00,13.9 kn,14.6 kn,15.2 kn
2026-05-08 03:30:00,13.0 kn,13.8 kn,14.8 kn
2026-05-08 04:00:00,13.3 kn,13.8 kn,14.4 kn
2026-05-08 04:30:00,13.9 kn,14.7 kn,15.4 kn
2026-05-08 05:00:00,14.0 kn,14.5 kn,15.1 kn
2026-05-08 05:30:00,13.6 kn,14.1 kn,14.7 kn
2026-05-08 06:00:00,13.7 kn,14.8 kn,15.5 kn
2026-05-08 06:30:00,13.8 kn,14.7 kn,15.6 kn
2026-05-08 07:00:00,14.5 kn,15.3 kn,16.2 kn
2026-05-08 07:30:00,14.0 kn,14.4 kn,15.0 kn
2026-05-08 08:00:00,13.1 kn,13.7 kn,14.6 kn
2026-05-08 08:30:00,12.4 kn,13.3 kn,14.5 kn
2026-05-08 09:00:00,12.4 kn,13.5 kn,14.5 kn
2026-05-08 09:30:00,13.1 kn,14.2 kn,15.2 kn
2026-05-08 10:00:00,12.6 kn,13.7 kn,14.4 kn
2026-05-08 10:30:00,14.1 kn,14.9 kn,15.8 kn
2026-05-08 11:00:00,14.9 kn,15.8 kn,16.3 kn
2026-05-08 11:30:00,15.1 kn,15.9 kn,17.1 kn
2026-05-08 12:00:00,13.5 kn,14.7 kn,16.0 kn
2026-05-08 12:30:00,13.5 kn,14.7 kn,16.2 kn
2026-05-08 13:00:00,14.5 kn,15.2 kn,15.9 kn
2026-05-08 13:30:00,12.3 kn,13.9 kn,15.4 kn
2026-05-08 14:00:00,13.8 kn,14.3 kn,14.7 kn
2026-05-08 14:30:00,13.8 kn,14.6 kn,15.2 kn
2026-05-08 15:00:00,14.0 kn,14.4 kn,15.0 kn
2026-05-08 15:30:00,14.5 kn,14.8 kn,15.3 kn
2026-05-08 16:00:00,15.0 kn,15.3 kn,15.9 kn
2026-05-08 16:30:00,14.3 kn,15.5 kn,16.5 kn
2026-05-08 17:00:00,15.3 kn,16.2 kn,17.1 kn
2026-05-08 17:30:00,14.4 kn,14.9 kn,15.4 kn
2026-05-08 18:00:00,14.7 kn,15.4 kn,16.1 kn
2026-05-08 18:30:00,14.5 kn,15.2 kn,15.7 kn
2026-05-08 19:00:00,14.6 kn,15.0 kn,15.4 kn
2026-05-08 19:30:00,14.3 kn,15.2 kn,16.1 kn
2026-05-08 20:00:00,14.6 kn,15.3 kn,16.2 kn
2026-05-08 20:30:00,14.3 kn,14.8 kn,15.6 kn
2026-05-08 21:00:00,14.4 kn,15.4 kn,16.1 kn
2026-05-08 21:30:00,13.7 kn,14.4 kn,14.8 kn
2026-05-08 22:00:00,14.4 kn,14.7 kn,15.0 kn
2026-05-08 22:30:00,14.3 kn,14.7 kn,15.1 kn
2026-05-08 23:00:00,14.7 kn,14.9 kn,15.2 kn
2026-05-08 23:30:00,14.6 kn,15.0 kn,15.5 kn
2026-05-09 00:00:00,14.0 kn,14.5 kn,15.0 kn
2026-05-09 00:30:00,14.1 kn,14.8 kn,15.9 kn
2026-05-09 01:00:00,14.8 kn,15.1 kn,15.5 kn
2026-05-09 01:30:00,13.5 kn,14.7 kn,15.3 kn
2026-05-09 02:00:00,13.3 kn,14.1 kn,14.8 kn
2026-05-09 02:30:00,13.4 kn,14.2 kn,14.9 kn
2026-05-09 03:00:00,13.2 kn,13.7 kn,14.0 kn
2026-05-09 03:30:00,12.1 kn,12.8 kn,13.5 kn
2026-05-09 04:00:00,13.2 kn,13.8 kn,14.3 kn
2026-05-09 04:30:00,13.6 kn,14.4 kn,15.2 kn
2026-05-09 05:00:00,13.0 kn,13.3 kn,13.7 kn
2026-05-09 05:30:00,13.7 kn,14.6 kn,15.5 kn
2026-05-09 06:00:00,14.7 kn,15.1 kn,15.7 kn
2026-05-09 06:30:00,15.3 kn,15.8 kn,16.5 kn
2026-05-09 07:00:00,16.2 kn,16.7 kn,17.0 kn
2026-05-09 07:30:00,16.4 kn,16.8 kn,17.2 kn
2026-05-09 08:00:00,16.4 kn,16.8 kn,17.2 kn
2026-05-09 08:30:00,17.1 kn,17.6 kn,17.8 kn
2026-05-09 09:00:00,16.4 kn,17.2 kn,17.8 kn
2026-05-09 09:30:00,17.0 kn,17.5 kn,17.9 kn
2026-05-09 10:00:00,16.6 kn,17.0 kn,17.5 kn
2026-05-09 10:30:00,16.6 kn,17.5 kn,17.7 kn
2026-05-09 11:00:00,16.4 kn,16.7 kn,17.2 kn
2026-05-09 11:30:00,16.9 kn,17.3 kn,17.6 kn
2026-05-09 12:00:00,16.7 kn,17.2 kn,18.2 kn
2026-05-09 12:30:00,16.7 kn,17.9 kn,18.9 kn
2026-05-09 13:00:00,17.6 kn,18.0 kn,18.6 kn
2026-05-09 13:30:00,17.6 kn,18.4 kn,19.5 kn
2026-05-09 14:00:00,17.9 kn,18.6 kn,19.2 kn
2026-05-09 14:30:00,18.3 kn,19.4 kn,21.0 kn
2026-05-09 15:00:00,17.9 kn,19.7 kn,21.1 kn
2026-05-09 15:30:00,16.7 kn,17.8 kn,18.4 kn
2026-05-09 16:00:00,18.3 kn,18.9 kn,19.7 kn
2026-05-09 16:30:00,17.4 kn,18.1 kn,18.6 kn
2026-05-09 17:00:00,17.2 kn,17.8 kn,18.2 kn
2026-05-09 17:30:00,17.8 kn,18.5 kn,19.6 kn
2026-05-09 18:00:00,17.3 kn,18.7 kn,19.5 kn
2026-05-09 18:30:00,17.5 kn,18.0 kn,18.5 kn
2026-05-09 19:00:00,16.7 kn,17.1 kn,17.7 kn
2026-05-09 19:30:00,17.1 kn,17.8 kn,18.3 kn
2026-05-09 20:00:00,16.5 kn,17.6 kn,18.5 kn
2026-05-09 20:30:00,16.4 kn,17.3 kn,18.6 kn
2026-05-09 21:00:00,16.4 kn,16.9 kn,17.6 kn
2026-05-09 21:30:00,17.2 kn,17.7 kn,18.1 kn
2026-05-09 22:00:00,16.8 kn,17.3 kn,17.7 kn
2026-05-09 22:30:00,17.5 kn,17.9 kn,18.3 kn
2026-05-09 23:00:00,17.6 kn,18.0 kn,18.3 kn
2026-05-09 23:30:00,17.0 kn,17.5 kn,18.0 kn
2026-05-10 00:00:00,16.4 kn,17.1 kn,17.7 kn
2026-05-10 00:30:00,16.4 kn,17.3 kn,18.2 kn
2026-05-10 01:00:00,17.0 kn,17.3 kn,17.5 kn
2026-05-10 01:30:00,17.4 kn,18.6 kn,19.5 kn
2026-05-10 02:00:00,17.8 kn,18.4 kn,19.0 kn
2026-05-10 02:30:00,17.7 kn,18.3 kn,19.0 kn
2026-05-10 03:00:00,17.4 kn,17.7 kn,18.0 kn
2026-05-10 03:30:00,17.1 kn,17.9 kn,18.7 kn
2026-05-10 04:00:00,16.3 kn,17.7 kn,18.6 kn
2026-05-10 04:30:00,16.4 kn,17.9 kn,18.9 kn
2026-05-10 05:00:00,18.4 kn,18.6 kn,19.3 kn
2026-05-10 05:30:00,17.6 kn,18.9 kn,19.6 kn
2026-05-10 06:00:00,17.4 kn,18.2 kn,18.9 kn
2026-05-10 06:30:00,17.7 kn,18.3 kn,19.2 kn
2026-05-10 07:00:00,18.2 kn,18.7 kn,19.5 kn
2026-05-10 07:30:00,17.1 kn,18.1 kn,18.8 kn
2026-05-10 08:00:00,16.8 kn,17.6 kn,18.7 kn
2026-05-10 08:30:00,17.9 kn,18.5 kn,19.2 kn
2026-05-10 09:00:00,18.1 kn,18.5 kn,19.2 kn
2026-05-10 09:30:00,16.6 kn,18.4 kn,20.2 kn
2026-05-10 10:00:00,17.1 kn,17.6 kn,18.0 kn
2026-05-10 10:30:00,17.6 kn,18.4 kn,18.8 kn
2026-05-10 11:00:00,16.5 kn,17.4 kn,18.7 kn
2026-05-10 11:30:00,15.8 kn,16.8 kn,17.4 kn
2026-05-10 12:00:00,15.8 kn,16.4 kn,17.1 kn
2026-05-10 12:30:00,14.8 kn,15.6 kn,15.9 kn
2026-05-10 13:00:00,15.5 kn,15.6 kn,15.6 kn
2026-05-10 13:30:00,16.6 kn,16.8 kn,16.9 kn
2026-05-10 14:00:00,15.9 kn,16.3 kn,16.9 kn
2026-05-10 14:30:00,15.5 kn,16.2 kn,16.7 kn
2026-05-10 15:00:00,16.2 kn,16.8 kn,17.7 kn
2026-05-10 15:30:00,17.7 kn,18.3 kn,19.1 kn
2026-05-10 16:00:00,17.5 kn,18.3 kn,19.3 kn
2026-05-10 16:30:00,17.5 kn,17.8 kn,18.5 kn
2026-05-10 17:00:00,16.9 kn,17.4 kn,17.7 kn
2026-05-10 17:30:00,16.6 kn,17.2 kn,18.0 kn
2026-05-10 18:00:00,16.1 kn,17.0 kn,17.9 kn
2026-05-10 18:30:00,16.6 kn,17.0 kn,17.4 kn
2026-05-10 19:00:00,16.6 kn,17.0 kn,17.4 kn
2026-05-10 19:30:00,16.2 kn,16.8 kn,17.3 kn
2026-05-10 20:00:00,15.6 kn,16.2 kn,16.7 kn
2026-05-10 20:30:00,14.3 kn,15.4 kn,16.2 kn
2026-05-10 21:00:00,15.6 kn,16.1 kn,16.8 kn
2026-05-10 21:30:00,14.6 kn,15.4 kn,16.9 kn
2026-05-10 22:00:00,14.3 kn,14.9 kn,15.6 kn
