"Time","Motor"
2026-04-06 11:50:00,0 Wh
2026-04-06 12:00:00,0 Wh
2026-04-06 12:10:00,0 Wh
2026-04-06 12:20:00,0 Wh
2026-04-06 12:30:00,0 Wh
2026-04-06 12:40:00,0 Wh
2026-04-06 12:50:00,0 Wh
2026-04-06 13:00:00,0 Wh
2026-04-06 13:10:00,0 Wh
2026-04-06 13:20:00,0 Wh
2026-04-06 13:30:00,0 Wh
2026-04-06 13:40:00,0 Wh
2026-04-06 13:50:00,0 Wh
2026-04-06 14:00:00,0 Wh
2026-04-06 14:10:00,20.7 Wh
2026-04-06 14:20:00,25.7 Wh
2026-04-06 14:30:00,25.9 Wh
2026-04-06 14:40:00,26.0 Wh
2026-04-06 14:50:00,26.0 Wh
2026-04-06 15:00:00,26.4 Wh
2026-04-06 15:10:00,26.6 Wh
2026-04-06 15:20:00,26.3 Wh
2026-04-06 15:30:00,26.0 Wh
2026-04-06 15:40:00,26.0 Wh
2026-04-06 15:50:00,25.2 Wh
2026-04-06 16:00:00,25.3 Wh
2026-04-06 16:10:00,25.1 Wh
2026-04-06 16:20:00,25.1 Wh
2026-04-06 16:30:00,25.0 Wh
2026-04-06 16:40:00,24.9 Wh
2026-04-06 16:50:00,25.1 Wh
2026-04-06 17:00:00,24.9 Wh
2026-04-06 17:10:00,20.4 Wh
2026-04-06 17:20:00,19.6 Wh
2026-04-06 17:30:00,19.4 Wh
2026-04-06 17:40:00,19.5 Wh
2026-04-06 17:50:00,19.1 Wh
2026-04-06 18:00:00,20.1 Wh
2026-04-06 18:10:00,19.5 Wh
2026-04-06 18:20:00,15.7 Wh
2026-04-06 18:30:00,0 Wh
2026-04-06 18:40:00,0 Wh
2026-04-06 18:50:00,0 Wh
2026-04-06 19:00:00,0 Wh
2026-04-06 19:10:00,0 Wh
2026-04-06 19:20:00,0 Wh
2026-04-06 19:30:00,0 Wh
2026-04-06 19:40:00,0 Wh
2026-04-06 19:50:00,0 Wh
2026-04-06 20:00:00,0 Wh
