"Time","Panel 1","Panel 2","Panel 3"
2026-02-03 04:00:00,6.27 Wh,5.95 Wh,432 mWh
2026-02-03 05:00:00,6.14 Wh,6.02 Wh,0 Wh
2026-02-03 06:00:00,6.17 Wh,6.15 Wh,0 Wh
2026-02-03 07:00:00,6.13 Wh,6.05 Wh,0 Wh
2026-02-03 08:00:00,6.24 Wh,6.06 Wh,0 Wh
2026-02-03 09:00:00,6.00 Wh,6.05 Wh,0 Wh
2026-02-03 10:00:00,11.7 Wh,6.20 Wh,0 Wh
2026-02-03 11:00:00,28.1 Wh,43.6 Wh,8.60 Wh
2026-02-03 12:00:00,31.7 Wh,78.9 Wh,34.7 Wh
2026-02-03 13:00:00,28.4 Wh,95.1 Wh,34.1 Wh
2026-02-03 14:00:00,21.6 Wh,82.7 Wh,30.2 Wh
2026-02-03 15:00:00,14.7 Wh,57.6 Wh,21.9 Wh
2026-02-03 16:00:00,9.74 Wh,30.0 Wh,12.4 Wh
2026-02-03 17:00:00,5.99 Wh,7.58 Wh,55.5 mWh
2026-02-03 18:00:00,5.88 Wh,6.17 Wh,13.5 mWh
2026-02-03 19:00:00,5.86 Wh,6.16 Wh,9.41 mWh
2026-02-03 20:00:00,5.85 Wh,6.11 Wh,0 Wh
2026-02-03 21:00:00,5.85 Wh,6.13 Wh,0 Wh
2026-02-03 22:00:00,5.83 Wh,6.13 Wh,0 Wh
2026-02-03 23:00:00,5.84 Wh,6.11 Wh,0 Wh
2026-02-04 00:00:00,5.82 Wh,6.12 Wh,0 Wh
2026-02-04 01:00:00,5.81 Wh,6.11 Wh,0 Wh
2026-02-04 02:00:00,5.82 Wh,6.09 Wh,0 Wh
2026-02-04 03:00:00,5.80 Wh,6.11 Wh,0 Wh
2026-02-04 04:00:00,5.78 Wh,6.08 Wh,0 Wh
2026-02-04 05:00:00,5.81 Wh,6.08 Wh,0 Wh
2026-02-04 06:00:00,5.82 Wh,6.09 Wh,0 Wh
2026-02-04 07:00:00,6.18 Wh,11.5 Wh,3.61 Wh
2026-02-04 08:00:00,8.89 Wh,32.6 Wh,12.7 Wh
2026-02-04 09:00:00,15.6 Wh,59.5 Wh,23.1 Wh
2026-02-04 10:00:00,25.7 Wh,93.8 Wh,34.9 Wh
2026-02-04 11:00:00,28.7 Wh,98.9 Wh,34.7 Wh
2026-02-04 12:00:00,32.9 Wh,104 Wh,35.2 Wh
2026-02-04 13:00:00,31.7 Wh,98.4 Wh,32.2 Wh
2026-02-04 14:00:00,26.3 Wh,80.3 Wh,25.4 Wh
2026-02-04 15:00:00,20.8 Wh,65.1 Wh,20.0 Wh
2026-02-04 16:00:00,8.59 Wh,25.0 Wh,7.26 Wh
2026-02-04 17:00:00,6.04 Wh,8.69 Wh,496 mWh
2026-02-04 18:00:00,5.80 Wh,6.15 Wh,0 Wh
2026-02-04 19:00:00,5.82 Wh,6.10 Wh,0 Wh
2026-02-04 20:00:00,5.84 Wh,6.11 Wh,0 Wh
2026-02-04 21:00:00,5.81 Wh,6.10 Wh,20.8 mWh
2026-02-04 22:00:00,5.80 Wh,6.10 Wh,0 Wh
2026-02-04 23:00:00,5.81 Wh,6.08 Wh,0 Wh
2026-02-05 00:00:00,5.81 Wh,6.08 Wh,0 Wh
2026-02-05 01:00:00,5.80 Wh,6.09 Wh,17.9 mWh
2026-02-05 02:00:00,5.76 Wh,6.06 Wh,0 Wh
2026-02-05 03:00:00,5.78 Wh,6.09 Wh,0 Wh
2026-02-05 04:00:00,5.77 Wh,6.08 Wh,0 Wh
2026-02-05 05:00:00,5.77 Wh,6.06 Wh,0 Wh
2026-02-05 06:00:00,5.80 Wh,6.08 Wh,9.03 mWh
2026-02-05 07:00:00,6.90 Wh,11.3 Wh,2.04 Wh
2026-02-05 08:00:00,10.5 Wh,28.8 Wh,10.4 Wh
2026-02-05 09:00:00,17.8 Wh,68.1 Wh,25.8 Wh
2026-02-05 10:00:00,22.7 Wh,84.7 Wh,30.1 Wh
2026-02-05 11:00:00,27.9 Wh,99.2 Wh,32.8 Wh
2026-02-05 12:00:00,16.6 Wh,100 Wh,28.5 Wh
2026-02-05 13:00:00,25.8 Wh,96.6 Wh,30.5 Wh
2026-02-05 14:00:00,21.3 Wh,82.9 Wh,29.7 Wh
2026-02-05 15:00:00,15.2 Wh,44.0 Wh,15.7 Wh
2026-02-05 16:00:00,8.85 Wh,21.4 Wh,8.30 Wh
2026-02-05 17:00:00,5.83 Wh,6.43 Wh,188 mWh
2026-02-05 18:00:00,5.79 Wh,6.08 Wh,0 Wh
2026-02-05 19:00:00,5.81 Wh,6.10 Wh,0 Wh
2026-02-05 20:00:00,5.80 Wh,6.08 Wh,0 Wh
2026-02-05 21:00:00,5.79 Wh,6.07 Wh,6.42 mWh
2026-02-05 22:00:00,5.77 Wh,6.05 Wh,0 Wh
2026-02-05 23:00:00,5.81 Wh,6.11 Wh,146 mWh
2026-02-06 00:00:00,5.78 Wh,6.06 Wh,0 Wh
2026-02-06 01:00:00,5.79 Wh,6.06 Wh,6.36 mWh
2026-02-06 02:00:00,5.79 Wh,6.08 Wh,0 Wh
2026-02-06 03:00:00,5.78 Wh,6.06 Wh,0 Wh
2026-02-06 04:00:00,5.77 Wh,6.05 Wh,0 Wh
2026-02-06 05:00:00,5.79 Wh,6.04 Wh,0 Wh
2026-02-06 06:00:00,5.79 Wh,6.05 Wh,0 Wh
2026-02-06 07:00:00,6.41 Wh,10.7 Wh,2.23 Wh
2026-02-06 08:00:00,12.2 Wh,31.3 Wh,10.2 Wh
2026-02-06 09:00:00,16.0 Wh,42.8 Wh,16.0 Wh
2026-02-06 10:00:00,8.18 Wh,38.8 Wh,20.7 Wh
2026-02-06 11:00:00,20.3 Wh,77.6 Wh,26.6 Wh
2026-02-06 12:00:00,18.4 Wh,62.5 Wh,20.4 Wh
2026-02-06 13:00:00,16.2 Wh,49.8 Wh,16.7 Wh
2026-02-06 14:00:00,11.1 Wh,38.6 Wh,19.2 Wh
2026-02-06 15:00:00,9.00 Wh,20.4 Wh,12.8 Wh
2026-02-06 16:00:00,7.70 Wh,17.7 Wh,6.67 Wh
2026-02-06 17:00:00,5.83 Wh,7.25 Wh,482 mWh
2026-02-06 18:00:00,5.76 Wh,6.05 Wh,0 Wh
2026-02-06 19:00:00,5.79 Wh,6.07 Wh,0 Wh
2026-02-06 20:00:00,5.75 Wh,6.02 Wh,0 Wh
2026-02-06 21:00:00,5.75 Wh,6.02 Wh,0 Wh
2026-02-06 22:00:00,5.77 Wh,6.03 Wh,0 Wh
2026-02-06 23:00:00,5.74 Wh,6.02 Wh,0 Wh
2026-02-07 00:00:00,5.74 Wh,6.03 Wh,0 Wh
2026-02-07 01:00:00,5.75 Wh,6.02 Wh,0 Wh
2026-02-07 02:00:00,5.75 Wh,6.02 Wh,13.1 mWh
2026-02-07 03:00:00,5.74 Wh,6.02 Wh,0 Wh
2026-02-07 04:00:00,5.73 Wh,6.00 Wh,4.83 mWh
2026-02-07 05:00:00,5.72 Wh,6.02 Wh,0 Wh
2026-02-07 06:00:00,5.73 Wh,6.01 Wh,0 Wh
2026-02-07 07:00:00,5.71 Wh,7.03 Wh,16.3 mWh
2026-02-07 08:00:00,6.42 Wh,10.3 Wh,1.49 Wh
2026-02-07 09:00:00,17.1 Wh,48.8 Wh,17.2 Wh
2026-02-07 10:00:00,22.1 Wh,68.3 Wh,23.6 Wh
2026-02-07 11:00:00,24.3 Wh,76.0 Wh,25.5 Wh
2026-02-07 12:00:00,20.4 Wh,73.3 Wh,23.4 Wh
2026-02-07 13:00:00,18.6 Wh,60.1 Wh,19.9 Wh
2026-02-07 14:00:00,15.7 Wh,47.8 Wh,16.5 Wh
2026-02-07 15:00:00,15.8 Wh,43.3 Wh,15.9 Wh
2026-02-07 16:00:00,8.40 Wh,17.5 Wh,5.91 Wh
2026-02-07 17:00:00,6.65 Wh,10.6 Wh,2.99 Wh
2026-02-07 18:00:00,5.74 Wh,6.00 Wh,0 Wh
2026-02-07 19:00:00,5.72 Wh,5.99 Wh,12.0 mWh
2026-02-07 20:00:00,5.71 Wh,5.99 Wh,0 Wh
2026-02-07 21:00:00,5.71 Wh,5.98 Wh,0 Wh
2026-02-07 22:00:00,5.73 Wh,5.98 Wh,0 Wh
2026-02-07 23:00:00,5.69 Wh,5.97 Wh,0 Wh
2026-02-08 00:00:00,5.69 Wh,5.97 Wh,0 Wh
2026-02-08 01:00:00,5.69 Wh,5.97 Wh,0 Wh
2026-02-08 02:00:00,5.67 Wh,5.95 Wh,0 Wh
2026-02-08 03:00:00,5.67 Wh,5.96 Wh,0 Wh
2026-02-08 04:00:00,5.67 Wh,5.93 Wh,0 Wh
2026-02-08 05:00:00,5.67 Wh,5.91 Wh,0 Wh
2026-02-08 06:00:00,5.64 Wh,5.92 Wh,0 Wh
2026-02-08 07:00:00,5.90 Wh,8.28 Wh,1.26 Wh
2026-02-08 08:00:00,9.74 Wh,22.3 Wh,8.70 Wh
2026-02-08 09:00:00,16.6 Wh,43.1 Wh,15.4 Wh
2026-02-08 10:00:00,21.5 Wh,65.2 Wh,22.0 Wh
2026-02-08 11:00:00,23.8 Wh,78.1 Wh,26.9 Wh
2026-02-08 12:00:00,25.2 Wh,94.6 Wh,30.0 Wh
2026-02-08 13:00:00,17.5 Wh,75.3 Wh,24.1 Wh
2026-02-08 14:00:00,17.8 Wh,54.4 Wh,18.5 Wh
2026-02-08 15:00:00,11.6 Wh,32.1 Wh,11.5 Wh
2026-02-08 16:00:00,8.66 Wh,20.3 Wh,7.64 Wh
2026-02-08 17:00:00,5.72 Wh,7.49 Wh,520 mWh
2026-02-08 18:00:00,5.64 Wh,5.93 Wh,0 Wh
2026-02-08 19:00:00,5.66 Wh,5.91 Wh,0 Wh
2026-02-08 20:00:00,5.64 Wh,5.93 Wh,0 Wh
2026-02-08 21:00:00,5.65 Wh,5.91 Wh,13.4 mWh
2026-02-08 22:00:00,5.61 Wh,5.90 Wh,0 Wh
2026-02-08 23:00:00,5.59 Wh,5.89 Wh,0 Wh
2026-02-09 00:00:00,5.58 Wh,5.85 Wh,6.29 mWh
2026-02-09 01:00:00,5.54 Wh,5.84 Wh,7.69 mWh
2026-02-09 02:00:00,5.53 Wh,5.80 Wh,8.55 mWh
2026-02-09 03:00:00,5.45 Wh,5.77 Wh,6.08 mWh
2026-02-09 04:00:00,5.49 Wh,5.76 Wh,0 Wh
2026-02-09 05:00:00,5.49 Wh,5.76 Wh,0 Wh
2026-02-09 06:00:00,5.47 Wh,5.75 Wh,0 Wh
2026-02-09 07:00:00,5.61 Wh,7.65 Wh,984 mWh
2026-02-09 08:00:00,7.97 Wh,17.5 Wh,7.05 Wh
2026-02-09 09:00:00,13.7 Wh,39.5 Wh,14.3 Wh
2026-02-09 10:00:00,23.8 Wh,70.0 Wh,24.0 Wh
2026-02-09 11:00:00,22.7 Wh,68.3 Wh,23.3 Wh
2026-02-09 12:00:00,20.5 Wh,68.8 Wh,22.9 Wh
2026-02-09 13:00:00,17.6 Wh,57.4 Wh,19.3 Wh
2026-02-09 14:00:00,15.8 Wh,49.0 Wh,16.7 Wh
2026-02-09 15:00:00,9.77 Wh,23.5 Wh,9.01 Wh
2026-02-09 16:00:00,6.69 Wh,12.7 Wh,4.69 Wh
2026-02-09 17:00:00,5.41 Wh,6.66 Wh,0 Wh
2026-02-09 18:00:00,5.44 Wh,5.69 Wh,0 Wh
2026-02-09 19:00:00,5.44 Wh,5.71 Wh,0 Wh
2026-02-09 20:00:00,5.51 Wh,5.79 Wh,0 Wh
2026-02-09 21:00:00,5.28 Wh,5.73 Wh,0 Wh
2026-02-09 22:00:00,5.36 Wh,5.68 Wh,0 Wh
2026-02-09 23:00:00,5.33 Wh,5.65 Wh,0 Wh
2026-02-10 00:00:00,5.35 Wh,5.62 Wh,0 Wh
2026-02-10 01:00:00,5.34 Wh,5.64 Wh,0 Wh
2026-02-10 02:00:00,5.30 Wh,5.59 Wh,0 Wh
2026-02-10 03:00:00,5.28 Wh,5.59 Wh,0 Wh
2026-02-10 04:00:00,5.32 Wh,5.60 Wh,0 Wh
2026-02-10 05:00:00,5.28 Wh,5.59 Wh,0 Wh
2026-02-10 06:00:00,5.30 Wh,5.59 Wh,0 Wh
2026-02-10 07:00:00,5.32 Wh,6.48 Wh,94.2 mWh
2026-02-10 08:00:00,9.80 Wh,27.9 Wh,11.3 Wh
