"Time","Min","Average","Max"
2026-02-03 04:00:00,,,
2026-02-03 05:00:00,,,
2026-02-03 06:00:00,,,
2026-02-03 07:00:00,,,
2026-02-03 08:00:00,,,
2026-02-03 09:00:00,,,
2026-02-03 10:00:00,0.467 kn,4.21 kn,6.96 kn
2026-02-03 11:00:00,3.19 kn,7.56 kn,12.7 kn
2026-02-03 12:00:00,8.96 kn,10.2 kn,12.2 kn
2026-02-03 13:00:00,3.83 kn,9.09 kn,11.3 kn
2026-02-03 14:00:00,1.46 kn,2.77 kn,3.95 kn
2026-02-03 15:00:00,0.739 kn,5.11 kn,11.0 kn
2026-02-03 16:00:00,10.4 kn,11.3 kn,12.2 kn
2026-02-03 17:00:00,10.4 kn,11.0 kn,11.9 kn
2026-02-03 18:00:00,9.06 kn,10.3 kn,11.3 kn
2026-02-03 19:00:00,6.22 kn,7.31 kn,9.64 kn
2026-02-03 20:00:00,4.88 kn,6.21 kn,7.15 kn
2026-02-03 21:00:00,3.09 kn,5.32 kn,7.54 kn
2026-02-03 22:00:00,6.47 kn,7.18 kn,8.20 kn
2026-02-03 23:00:00,6.12 kn,6.88 kn,7.78 kn
2026-02-04 00:00:00,4.57 kn,6.09 kn,8.30 kn
2026-02-04 01:00:00,6.03 kn,7.83 kn,9.14 kn
2026-02-04 02:00:00,5.99 kn,6.31 kn,6.67 kn
2026-02-04 03:00:00,4.08 kn,6.08 kn,6.94 kn
2026-02-04 04:00:00,5.91 kn,7.08 kn,7.99 kn
2026-02-04 05:00:00,4.59 kn,5.83 kn,6.69 kn
2026-02-04 06:00:00,2.25 kn,3.35 kn,5.15 kn
2026-02-04 07:00:00,3.71 kn,4.59 kn,5.17 kn
2026-02-04 08:00:00,3.77 kn,4.95 kn,6.32 kn
2026-02-04 09:00:00,6.40 kn,7.41 kn,11.7 kn
2026-02-04 10:00:00,11.7 kn,12.4 kn,13.2 kn
2026-02-04 11:00:00,9.76 kn,11.6 kn,12.8 kn
2026-02-04 12:00:00,10.2 kn,11.0 kn,11.4 kn
2026-02-04 13:00:00,8.16 kn,9.72 kn,11.2 kn
2026-02-04 14:00:00,8.16 kn,8.96 kn,9.99 kn
2026-02-04 15:00:00,7.85 kn,8.86 kn,9.29 kn
2026-02-04 16:00:00,7.54 kn,8.36 kn,8.73 kn
2026-02-04 17:00:00,4.00 kn,5.07 kn,7.15 kn
2026-02-04 18:00:00,2.33 kn,5.38 kn,6.01 kn
2026-02-04 19:00:00,1.42 kn,4.12 kn,6.05 kn
2026-02-04 20:00:00,3.34 kn,4.64 kn,5.89 kn
2026-02-04 21:00:00,3.19 kn,4.06 kn,5.11 kn
2026-02-04 22:00:00,2.35 kn,4.01 kn,4.67 kn
2026-02-04 23:00:00,1.63 kn,4.62 kn,6.51 kn
2026-02-05 00:00:00,4.43 kn,5.79 kn,7.19 kn
2026-02-05 01:00:00,3.91 kn,5.05 kn,6.24 kn
2026-02-05 02:00:00,1.89 kn,3.86 kn,4.55 kn
2026-02-05 03:00:00,4.28 kn,5.19 kn,5.83 kn
2026-02-05 04:00:00,3.87 kn,5.69 kn,7.11 kn
2026-02-05 05:00:00,4.90 kn,5.63 kn,7.17 kn
2026-02-05 06:00:00,0.875 kn,4.02 kn,5.70 kn
2026-02-05 07:00:00,0.894 kn,2.70 kn,4.24 kn
2026-02-05 08:00:00,1.05 kn,2.47 kn,4.20 kn
2026-02-05 09:00:00,0.991 kn,3.00 kn,4.20 kn
2026-02-05 10:00:00,0.680 kn,2.06 kn,3.54 kn
2026-02-05 11:00:00,0.797 kn,3.15 kn,6.03 kn
2026-02-05 12:00:00,2.55 kn,3.70 kn,4.51 kn
2026-02-05 13:00:00,2.70 kn,3.25 kn,6.45 kn
2026-02-05 14:00:00,2.92 kn,3.44 kn,5.48 kn
2026-02-05 15:00:00,1.44 kn,2.21 kn,3.25 kn
2026-02-05 16:00:00,0.972 kn,1.55 kn,2.25 kn
2026-02-05 17:00:00,2.37 kn,3.80 kn,4.80 kn
2026-02-05 18:00:00,3.56 kn,4.69 kn,6.01 kn
2026-02-05 19:00:00,3.44 kn,5.34 kn,6.08 kn
2026-02-05 20:00:00,1.48 kn,2.42 kn,4.06 kn
2026-02-05 21:00:00,0.700 kn,6.23 kn,9.80 kn
2026-02-05 22:00:00,8.94 kn,9.60 kn,14.0 kn
2026-02-05 23:00:00,9.43 kn,12.1 kn,14.8 kn
2026-02-06 00:00:00,7.68 kn,8.86 kn,11.2 kn
2026-02-06 01:00:00,9.41 kn,10.6 kn,11.8 kn
2026-02-06 02:00:00,6.08 kn,7.83 kn,9.35 kn
2026-02-06 03:00:00,0.894 kn,3.24 kn,4.55 kn
2026-02-06 04:00:00,1.36 kn,2.09 kn,3.27 kn
2026-02-06 05:00:00,0.583 kn,1.98 kn,2.68 kn
2026-02-06 06:00:00,0.408 kn,1.47 kn,2.82 kn
2026-02-06 07:00:00,1.89 kn,6.21 kn,8.92 kn
2026-02-06 08:00:00,8.14 kn,9.88 kn,11.7 kn
2026-02-06 09:00:00,7.99 kn,10.3 kn,11.8 kn
2026-02-06 10:00:00,4.61 kn,6.18 kn,7.87 kn
2026-02-06 11:00:00,2.84 kn,3.91 kn,5.02 kn
2026-02-06 12:00:00,3.73 kn,4.25 kn,5.99 kn
2026-02-06 13:00:00,3.63 kn,4.31 kn,5.00 kn
2026-02-06 14:00:00,4.72 kn,6.10 kn,8.13 kn
2026-02-06 15:00:00,6.41 kn,7.38 kn,8.05 kn
2026-02-06 16:00:00,7.23 kn,8.95 kn,10.4 kn
