"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-05 12:00:00,-4.16 Wh,-4.46 Wh,-28.7 Wh,-4.50 Wh,0 Wh
2026-02-05 13:00:00,-4.14 Wh,-4.52 Wh,-28.8 Wh,-4.53 Wh,0 Wh
2026-02-05 14:00:00,-4.18 Wh,-4.52 Wh,-27.8 Wh,-4.50 Wh,0 Wh
2026-02-05 15:00:00,-4.17 Wh,-4.49 Wh,-28.0 Wh,-4.49 Wh,0 Wh
2026-02-05 16:00:00,-4.15 Wh,-4.75 Wh,-28.8 Wh,-4.46 Wh,0 Wh
2026-02-05 17:00:00,-4.17 Wh,-4.95 Wh,-28.5 Wh,-4.46 Wh,0 Wh
2026-02-05 18:00:00,-4.15 Wh,-4.76 Wh,-28.4 Wh,-4.42 Wh,0 Wh
2026-02-05 19:00:00,-4.17 Wh,-4.75 Wh,-29.2 Wh,-4.40 Wh,0 Wh
2026-02-05 20:00:00,-4.14 Wh,-4.49 Wh,-28.7 Wh,-4.39 Wh,0 Wh
2026-02-05 21:00:00,-4.15 Wh,-4.55 Wh,-28.7 Wh,-4.43 Wh,0 Wh
2026-02-05 22:00:00,-4.21 Wh,-4.49 Wh,-28.1 Wh,-4.37 Wh,0 Wh
2026-02-05 23:00:00,-4.18 Wh,-4.45 Wh,-29.2 Wh,-4.28 Wh,0 Wh
2026-02-06 00:00:00,-6.05 Wh,-4.65 Wh,-28.3 Wh,-4.40 Wh,-8.39 Wh
2026-02-06 01:00:00,-6.23 Wh,-4.50 Wh,-27.8 Wh,-4.38 Wh,-14.2 Wh
2026-02-06 02:00:00,-6.36 Wh,-4.66 Wh,-28.7 Wh,-4.38 Wh,-27.8 Wh
2026-02-06 03:00:00,-4.20 Wh,-4.47 Wh,-28.2 Wh,-4.38 Wh,-18.9 mWh
2026-02-06 04:00:00,-5.80 Wh,-4.55 Wh,-28.6 Wh,-4.40 Wh,-10.5 Wh
2026-02-06 05:00:00,-6.22 Wh,-4.77 Wh,-27.9 Wh,-4.39 Wh,-13.4 Wh
2026-02-06 06:00:00,-6.27 Wh,-4.66 Wh,-27.9 Wh,-4.36 Wh,-13.6 Wh
2026-02-06 07:00:00,-6.14 Wh,-4.50 Wh,-29.1 Wh,-4.35 Wh,-35.6 Wh
