"Time","Min","Average","Max"
2026-03-11 23:00:00,0.0972 kn,0.117 kn,0.136 kn
2026-03-12 00:00:00,0.0778 kn,0.259 kn,1.65 kn
2026-03-12 01:00:00,1.65 kn,2.81 kn,4.16 kn
2026-03-12 02:00:00,3.09 kn,5.10 kn,6.63 kn
2026-03-12 03:00:00,6.28 kn,10.3 kn,12.9 kn
2026-03-12 04:00:00,12.8 kn,13.5 kn,14.6 kn
2026-03-12 05:00:00,12.2 kn,13.1 kn,15.3 kn
2026-03-12 06:00:00,14.2 kn,14.9 kn,15.6 kn
2026-03-12 07:00:00,14.0 kn,14.6 kn,15.1 kn
2026-03-12 08:00:00,12.8 kn,13.5 kn,14.0 kn
2026-03-12 09:00:00,13.7 kn,15.2 kn,16.2 kn
2026-03-12 10:00:00,15.3 kn,15.8 kn,16.5 kn
2026-03-12 11:00:00,15.4 kn,16.0 kn,17.1 kn
2026-03-12 12:00:00,16.1 kn,16.7 kn,17.3 kn
2026-03-12 13:00:00,16.3 kn,17.9 kn,19.0 kn
2026-03-12 14:00:00,16.3 kn,17.4 kn,18.0 kn
2026-03-12 15:00:00,15.9 kn,16.6 kn,17.3 kn
2026-03-12 16:00:00,14.2 kn,15.5 kn,16.5 kn
2026-03-12 17:00:00,13.1 kn,14.6 kn,15.4 kn
2026-03-12 18:00:00,13.7 kn,15.5 kn,16.4 kn
2026-03-12 19:00:00,13.9 kn,15.9 kn,17.2 kn
2026-03-12 20:00:00,14.3 kn,15.5 kn,16.4 kn
2026-03-12 21:00:00,14.4 kn,15.6 kn,17.2 kn
2026-03-12 22:00:00,13.6 kn,15.0 kn,17.1 kn
2026-03-12 23:00:00,14.4 kn,15.4 kn,16.4 kn
2026-03-13 00:00:00,14.9 kn,15.9 kn,16.6 kn
2026-03-13 01:00:00,11.8 kn,14.4 kn,17.0 kn
2026-03-13 02:00:00,13.1 kn,15.6 kn,17.1 kn
2026-03-13 03:00:00,14.8 kn,16.4 kn,17.7 kn
2026-03-13 04:00:00,14.4 kn,15.2 kn,16.1 kn
2026-03-13 05:00:00,14.5 kn,15.5 kn,16.2 kn
2026-03-13 06:00:00,11.5 kn,13.4 kn,15.6 kn
2026-03-13 07:00:00,11.8 kn,12.9 kn,13.5 kn
2026-03-13 08:00:00,11.9 kn,13.0 kn,14.4 kn
2026-03-13 09:00:00,12.4 kn,13.4 kn,14.1 kn
2026-03-13 10:00:00,12.4 kn,13.4 kn,14.0 kn
2026-03-13 11:00:00,13.3 kn,14.5 kn,15.8 kn
2026-03-13 12:00:00,14.2 kn,15.4 kn,16.8 kn
2026-03-13 13:00:00,15.1 kn,16.0 kn,17.9 kn
2026-03-13 14:00:00,17.2 kn,18.3 kn,19.7 kn
2026-03-13 15:00:00,16.2 kn,17.4 kn,19.0 kn
2026-03-13 16:00:00,14.5 kn,15.3 kn,16.6 kn
2026-03-13 17:00:00,14.8 kn,15.7 kn,16.9 kn
2026-03-13 18:00:00,14.1 kn,16.3 kn,17.6 kn
2026-03-13 19:00:00,13.3 kn,14.9 kn,16.7 kn
2026-03-13 20:00:00,12.7 kn,15.0 kn,17.7 kn
2026-03-13 21:00:00,16.3 kn,17.4 kn,18.8 kn
2026-03-13 22:00:00,16.3 kn,17.8 kn,20.7 kn
2026-03-13 23:00:00,19.9 kn,21.2 kn,22.9 kn
2026-03-14 00:00:00,18.5 kn,20.0 kn,22.0 kn
2026-03-14 01:00:00,17.8 kn,19.4 kn,20.7 kn
2026-03-14 02:00:00,15.8 kn,17.5 kn,19.4 kn
2026-03-14 03:00:00,17.2 kn,19.0 kn,21.0 kn
2026-03-14 04:00:00,17.3 kn,18.4 kn,19.7 kn
2026-03-14 05:00:00,17.3 kn,19.2 kn,21.5 kn
2026-03-14 06:00:00,17.5 kn,19.1 kn,20.4 kn
