"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-18 10:00:00,-4.89 Wh,-4.89 Wh,-38.5 Wh,-5.31 Wh,-34.9 Wh
2026-02-18 11:00:00,-6.32 Wh,-4.94 Wh,-32.6 Wh,-4.87 Wh,-122 Wh
2026-02-18 12:00:00,-6.69 Wh,-4.85 Wh,-28.0 Wh,-4.50 Wh,-115 Wh
2026-02-18 13:00:00,-6.70 Wh,-4.81 Wh,-27.5 Wh,-4.54 Wh,-110 Wh
2026-02-18 14:00:00,-6.64 Wh,-4.85 Wh,-27.2 Wh,-4.52 Wh,-111 Wh
2026-02-18 15:00:00,-6.63 Wh,-4.77 Wh,-26.8 Wh,-4.56 Wh,-113 Wh
2026-02-18 16:00:00,-6.79 Wh,-4.84 Wh,-28.0 Wh,-4.52 Wh,-111 Wh
2026-02-18 17:00:00,-6.55 Wh,-4.91 Wh,-29.2 Wh,-4.53 Wh,-110 Wh
2026-02-18 18:00:00,-6.01 Wh,-5.14 Wh,,-4.52 Wh,-116 Wh
2026-02-18 19:00:00,-4.70 Wh,-5.04 Wh,-28.6 Wh,-4.57 Wh,-144 Wh
2026-02-18 20:00:00,-6.28 Wh,-4.85 Wh,,-4.57 Wh,-124 Wh
2026-02-18 21:00:00,-6.52 Wh,-4.80 Wh,-29.5 Wh,-4.50 Wh,-73.8 Wh
2026-02-18 22:00:00,-6.82 Wh,-4.90 Wh,-29.2 Wh,-4.52 Wh,-39.8 Wh
2026-02-18 23:00:00,-6.86 Wh,-4.74 Wh,-29.0 Wh,-4.52 Wh,-34.7 Wh
2026-02-19 00:00:00,-6.81 Wh,-4.73 Wh,-29.2 Wh,-4.54 Wh,-49.6 Wh
2026-02-19 01:00:00,-6.81 Wh,-4.75 Wh,-29.3 Wh,-4.53 Wh,-62.4 Wh
2026-02-19 02:00:00,-6.51 Wh,-4.71 Wh,-29.4 Wh,-4.56 Wh,-58.8 Wh
