"Time","Motor"
2026-02-18 10:00:00,0 Wh
2026-02-18 10:10:00,0 Wh
2026-02-18 10:20:00,0 Wh
2026-02-18 10:30:00,15.5 Wh
2026-02-18 10:40:00,67.3 Wh
2026-02-18 10:50:00,82.0 Wh
2026-02-18 11:00:00,97.8 Wh
2026-02-18 11:10:00,111 Wh
2026-02-18 11:20:00,131 Wh
2026-02-18 11:30:00,129 Wh
2026-02-18 11:40:00,133 Wh
2026-02-18 11:50:00,134 Wh
2026-02-18 12:00:00,128 Wh
2026-02-18 12:10:00,118 Wh
2026-02-18 12:20:00,112 Wh
2026-02-18 12:30:00,111 Wh
2026-02-18 12:40:00,112 Wh
2026-02-18 12:50:00,110 Wh
2026-02-18 13:00:00,109 Wh
2026-02-18 13:10:00,111 Wh
2026-02-18 13:20:00,109 Wh
2026-02-18 13:30:00,109 Wh
2026-02-18 13:40:00,110 Wh
2026-02-18 13:50:00,110 Wh
2026-02-18 14:00:00,111 Wh
2026-02-18 14:10:00,111 Wh
2026-02-18 14:20:00,111 Wh
2026-02-18 14:30:00,111 Wh
2026-02-18 14:40:00,111 Wh
2026-02-18 14:50:00,111 Wh
2026-02-18 15:00:00,114 Wh
2026-02-18 15:10:00,113 Wh
2026-02-18 15:20:00,113 Wh
2026-02-18 15:30:00,115 Wh
2026-02-18 15:40:00,114 Wh
2026-02-18 15:50:00,111 Wh
2026-02-18 16:00:00,112 Wh
2026-02-18 16:10:00,112 Wh
2026-02-18 16:20:00,112 Wh
2026-02-18 16:30:00,111 Wh
2026-02-18 16:40:00,112 Wh
2026-02-18 16:50:00,110 Wh
2026-02-18 17:00:00,111 Wh
2026-02-18 17:10:00,110 Wh
2026-02-18 17:20:00,111 Wh
2026-02-18 17:30:00,110 Wh
2026-02-18 17:40:00,93.3 Wh
2026-02-18 17:50:00,122 Wh
2026-02-18 18:00:00,88.7 Wh
2026-02-18 18:10:00,107 Wh
2026-02-18 18:20:00,63.5 Wh
2026-02-18 18:30:00,159 Wh
2026-02-18 18:40:00,159 Wh
2026-02-18 18:50:00,119 Wh
2026-02-18 19:00:00,138 Wh
2026-02-18 19:10:00,79.3 Wh
2026-02-18 19:20:00,166 Wh
2026-02-18 19:30:00,160 Wh
2026-02-18 19:40:00,158 Wh
2026-02-18 19:50:00,154 Wh
2026-02-18 20:00:00,41.0 Wh
2026-02-18 20:10:00,132 Wh
2026-02-18 20:20:00,141 Wh
2026-02-18 20:30:00,133 Wh
2026-02-18 20:40:00,141 Wh
2026-02-18 20:50:00,142 Wh
2026-02-18 21:00:00,148 Wh
2026-02-18 21:10:00,478 Wh
2026-02-18 21:20:00,115 Wh
2026-02-18 21:30:00,89.0 Wh
2026-02-18 21:40:00,37.5 Wh
2026-02-18 21:50:00,38.3 Wh
2026-02-18 22:00:00,38.7 Wh
2026-02-18 22:10:00,39.9 Wh
2026-02-18 22:20:00,40.7 Wh
2026-02-18 22:30:00,40.4 Wh
2026-02-18 22:40:00,40.5 Wh
2026-02-18 22:50:00,38.8 Wh
2026-02-18 23:00:00,36.8 Wh
2026-02-18 23:10:00,36.9 Wh
2026-02-18 23:20:00,36.0 Wh
2026-02-18 23:30:00,37.0 Wh
2026-02-18 23:40:00,37.1 Wh
2026-02-18 23:50:00,19.6 Wh
2026-02-19 00:00:00,17.2 Wh
2026-02-19 00:10:00,38.3 Wh
2026-02-19 00:20:00,37.9 Wh
2026-02-19 00:30:00,51.2 Wh
2026-02-19 00:40:00,66.5 Wh
2026-02-19 00:50:00,57.6 Wh
2026-02-19 01:00:00,58.0 Wh
2026-02-19 01:10:00,58.9 Wh
2026-02-19 01:20:00,67.2 Wh
2026-02-19 01:30:00,74.2 Wh
2026-02-19 01:40:00,71.8 Wh
2026-02-19 01:50:00,49.6 Wh
2026-02-19 02:00:00,50.3 Wh
2026-02-19 02:10:00,58.4 Wh
2026-02-19 02:20:00,32.9 Wh
2026-02-19 02:30:00,74.2 Wh
2026-02-19 02:40:00,74.5 Wh
2026-02-19 02:50:00,75.1 Wh
2026-02-19 03:00:00,69.6 Wh
2026-02-19 03:10:00,57.2 Wh
2026-02-19 03:20:00,36.6 Wh
2026-02-19 03:30:00,40.1 Wh
2026-02-19 03:40:00,40.0 Wh
2026-02-19 03:50:00,39.3 Wh
2026-02-19 04:00:00,47.7 Wh
2026-02-19 04:10:00,46.9 Wh
2026-02-19 04:20:00,51.3 Wh
2026-02-19 04:30:00,60.9 Wh
2026-02-19 04:40:00,55.6 Wh
2026-02-19 04:50:00,104 Wh
2026-02-19 05:00:00,118 Wh
2026-02-19 05:10:00,97.3 Wh
2026-02-19 05:20:00,84.2 Wh
2026-02-19 05:30:00,58.2 Wh
2026-02-19 05:40:00,57.7 Wh
2026-02-19 05:50:00,35.2 Wh
2026-02-19 06:00:00,19.8 Wh
2026-02-19 06:10:00,21.1 Wh
2026-02-19 06:20:00,20.8 Wh
2026-02-19 06:30:00,20.9 Wh
2026-02-19 06:40:00,20.8 Wh
2026-02-19 06:50:00,20.4 Wh
2026-02-19 07:00:00,64.8 Wh
2026-02-19 07:10:00,52.5 Wh
2026-02-19 07:20:00,75.6 Wh
2026-02-19 07:30:00,58.6 Wh
2026-02-19 07:40:00,58.2 Wh
2026-02-19 07:50:00,45.9 Wh
2026-02-19 08:00:00,37.3 Wh
2026-02-19 08:10:00,36.6 Wh
2026-02-19 08:20:00,36.6 Wh
2026-02-19 08:30:00,86.7 Wh
2026-02-19 08:40:00,80.9 Wh
2026-02-19 08:50:00,65.0 Wh
2026-02-19 09:00:00,63.8 Wh
2026-02-19 09:10:00,65.4 Wh
2026-02-19 09:20:00,64.3 Wh
2026-02-19 09:30:00,103 Wh
2026-02-19 09:40:00,111 Wh
2026-02-19 09:50:00,112 Wh
2026-02-19 10:00:00,112 Wh
2026-02-19 10:10:00,94.4 Wh
2026-02-19 10:20:00,86.8 Wh
2026-02-19 10:30:00,65.8 Wh
2026-02-19 10:40:00,63.8 Wh
2026-02-19 10:50:00,65.3 Wh
2026-02-19 11:00:00,64.2 Wh
2026-02-19 11:10:00,87.6 Wh
2026-02-19 11:20:00,112 Wh
2026-02-19 11:30:00,111 Wh
2026-02-19 11:40:00,104 Wh
2026-02-19 11:50:00,94.9 Wh
2026-02-19 12:00:00,94.1 Wh
2026-02-19 12:10:00,80.4 Wh
2026-02-19 12:20:00,80.0 Wh
2026-02-19 12:30:00,55.8 Wh
2026-02-19 12:40:00,62.0 Wh
2026-02-19 12:50:00,67.7 Wh
2026-02-19 13:00:00,61.3 Wh
2026-02-19 13:10:00,33.4 Wh
2026-02-19 13:20:00,31.1 Wh
2026-02-19 13:30:00,24.1 Wh
2026-02-19 13:40:00,23.7 Wh
2026-02-19 13:50:00,23.9 Wh
2026-02-19 14:00:00,24.0 Wh
2026-02-19 14:10:00,23.9 Wh
2026-02-19 14:20:00,24.0 Wh
2026-02-19 14:30:00,24.0 Wh
2026-02-19 14:40:00,24.2 Wh
2026-02-19 14:50:00,24.1 Wh
2026-02-19 15:00:00,24.4 Wh
2026-02-19 15:10:00,27.3 Wh
2026-02-19 15:20:00,40.1 Wh
2026-02-19 15:30:00,46.3 Wh
2026-02-19 15:40:00,49.1 Wh
2026-02-19 15:50:00,49.6 Wh
2026-02-19 16:00:00,49.3 Wh
2026-02-19 16:10:00,49.0 Wh
2026-02-19 16:20:00,49.4 Wh
2026-02-19 16:30:00,49.1 Wh
2026-02-19 16:40:00,49.0 Wh
2026-02-19 16:50:00,49.6 Wh
2026-02-19 17:00:00,49.6 Wh
2026-02-19 17:10:00,50.2 Wh
2026-02-19 17:20:00,48.4 Wh
2026-02-19 17:30:00,47.9 Wh
2026-02-19 17:40:00,47.9 Wh
2026-02-19 17:50:00,49.6 Wh
2026-02-19 18:00:00,49.2 Wh
2026-02-19 18:10:00,50.2 Wh
2026-02-19 18:20:00,72.2 Wh
2026-02-19 18:30:00,70.5 Wh
2026-02-19 18:40:00,49.9 Wh
2026-02-19 18:50:00,48.6 Wh
2026-02-19 19:00:00,49.2 Wh
2026-02-19 19:10:00,49.2 Wh
2026-02-19 19:20:00,49.6 Wh
2026-02-19 19:30:00,67.2 Wh
2026-02-19 19:40:00,72.6 Wh
2026-02-19 19:50:00,71.9 Wh
2026-02-19 20:00:00,73.5 Wh
2026-02-19 20:10:00,65.3 Wh
2026-02-19 20:20:00,73.1 Wh
2026-02-19 20:30:00,73.1 Wh
2026-02-19 20:40:00,73.0 Wh
2026-02-19 20:50:00,70.8 Wh
2026-02-19 21:00:00,50.1 Wh
2026-02-19 21:10:00,46.0 Wh
2026-02-19 21:20:00,45.9 Wh
2026-02-19 21:30:00,48.9 Wh
2026-02-19 21:40:00,46.6 Wh
2026-02-19 21:50:00,45.9 Wh
2026-02-19 22:00:00,46.0 Wh
2026-02-19 22:10:00,46.1 Wh
2026-02-19 22:20:00,45.6 Wh
2026-02-19 22:30:00,49.7 Wh
