"Time","Panel 1","Panel 2","Panel 3"
2026-02-22 01:00:00,5.43 Wh,5.71 Wh,0 Wh
2026-02-22 02:00:00,5.40 Wh,5.72 Wh,0 Wh
2026-02-22 03:00:00,5.44 Wh,5.68 Wh,0 Wh
2026-02-22 04:00:00,5.38 Wh,5.68 Wh,0 Wh
2026-02-22 05:00:00,5.40 Wh,5.67 Wh,0 Wh
2026-02-22 06:00:00,5.37 Wh,5.75 Wh,0 Wh
2026-02-22 07:00:00,7.04 Wh,16.9 Wh,7.41 Wh
2026-02-22 08:00:00,11.5 Wh,43.2 Wh,17.9 Wh
2026-02-22 09:00:00,18.7 Wh,71.5 Wh,27.2 Wh
2026-02-22 10:00:00,25.0 Wh,86.4 Wh,32.6 Wh
2026-02-22 11:00:00,27.8 Wh,98.8 Wh,35.4 Wh
2026-02-22 12:00:00,30.9 Wh,104 Wh,38.0 Wh
2026-02-22 13:00:00,28.1 Wh,91.8 Wh,33.7 Wh
2026-02-22 14:00:00,26.4 Wh,81.5 Wh,29.4 Wh
2026-02-22 15:00:00,21.3 Wh,62.7 Wh,22.6 Wh
2026-02-22 16:00:00,12.1 Wh,33.1 Wh,12.8 Wh
2026-02-22 17:00:00,6.34 Wh,11.3 Wh,3.18 Wh
2026-02-22 18:00:00,5.31 Wh,5.64 Wh,0 Wh
2026-02-22 19:00:00,5.30 Wh,5.62 Wh,0 Wh
2026-02-22 20:00:00,5.33 Wh,5.62 Wh,0 Wh
2026-02-22 21:00:00,5.32 Wh,5.61 Wh,0 Wh
2026-02-22 22:00:00,5.33 Wh,5.60 Wh,0 Wh
2026-02-22 23:00:00,5.31 Wh,5.59 Wh,0 Wh
2026-02-23 00:00:00,5.28 Wh,5.59 Wh,0 Wh
2026-02-23 01:00:00,5.28 Wh,5.58 Wh,0 Wh
2026-02-23 02:00:00,5.28 Wh,5.57 Wh,0 Wh
2026-02-23 03:00:00,5.28 Wh,5.58 Wh,10.1 mWh
2026-02-23 04:00:00,5.23 Wh,5.55 Wh,0 Wh
2026-02-23 05:00:00,5.27 Wh,5.56 Wh,0 Wh
2026-02-23 06:00:00,5.21 Wh,5.54 Wh,0 Wh
2026-02-23 07:00:00,5.73 Wh,9.16 Wh,1.82 Wh
2026-02-23 08:00:00,8.85 Wh,20.5 Wh,8.04 Wh
2026-02-23 09:00:00,13.6 Wh,37.2 Wh,13.3 Wh
2026-02-23 10:00:00,15.5 Wh,44.0 Wh,15.4 Wh
2026-02-23 11:00:00,18.1 Wh,53.8 Wh,18.5 Wh
2026-02-23 12:00:00,19.6 Wh,58.8 Wh,20.1 Wh
2026-02-23 13:00:00,21.8 Wh,66.9 Wh,23.1 Wh
2026-02-23 14:00:00,13.6 Wh,38.0 Wh,13.6 Wh
2026-02-23 15:00:00,12.8 Wh,34.6 Wh,12.6 Wh
2026-02-23 16:00:00,8.40 Wh,19.1 Wh,7.46 Wh
2026-02-23 17:00:00,5.30 Wh,7.70 Wh,344 mWh
2026-02-23 18:00:00,5.15 Wh,5.51 Wh,0 Wh
2026-02-23 19:00:00,5.21 Wh,5.51 Wh,0 Wh
2026-02-23 20:00:00,5.21 Wh,5.52 Wh,0 Wh
2026-02-23 21:00:00,5.18 Wh,5.52 Wh,0 Wh
2026-02-23 22:00:00,5.21 Wh,5.51 Wh,0 Wh
2026-02-23 23:00:00,5.15 Wh,5.49 Wh,0 Wh
2026-02-24 00:00:00,5.22 Wh,5.50 Wh,0 Wh
2026-02-24 01:00:00,5.16 Wh,5.50 Wh,0 Wh
2026-02-24 02:00:00,5.18 Wh,5.46 Wh,0 Wh
2026-02-24 03:00:00,5.06 Wh,5.45 Wh,0 Wh
2026-02-24 04:00:00,5.11 Wh,5.44 Wh,0 Wh
2026-02-24 05:00:00,5.19 Wh,5.43 Wh,0 Wh
2026-02-24 06:00:00,5.14 Wh,5.88 Wh,0 Wh
2026-02-24 07:00:00,6.32 Wh,12.0 Wh,4.02 Wh
2026-02-24 08:00:00,11.4 Wh,31.9 Wh,12.7 Wh
2026-02-24 09:00:00,18.3 Wh,62.3 Wh,24.1 Wh
2026-02-24 10:00:00,27.3 Wh,90.8 Wh,33.2 Wh
2026-02-24 11:00:00,26.3 Wh,78.5 Wh,26.8 Wh
2026-02-24 12:00:00,19.4 Wh,56.2 Wh,18.7 Wh
2026-02-24 13:00:00,14.7 Wh,41.7 Wh,14.7 Wh
2026-02-24 14:00:00,13.3 Wh,36.7 Wh,12.9 Wh
2026-02-24 15:00:00,9.87 Wh,23.9 Wh,8.93 Wh
2026-02-24 16:00:00,6.13 Wh,10.7 Wh,2.78 Wh
2026-02-24 17:00:00,4.99 Wh,5.94 Wh,0 Wh
2026-02-24 18:00:00,5.03 Wh,5.40 Wh,0 Wh
2026-02-24 19:00:00,4.93 Wh,5.39 Wh,0 Wh
2026-02-24 20:00:00,4.94 Wh,5.37 Wh,0 Wh
2026-02-24 21:00:00,4.89 Wh,5.38 Wh,0 Wh
2026-02-24 22:00:00,4.93 Wh,5.34 Wh,0 Wh
2026-02-24 23:00:00,4.92 Wh,5.32 Wh,0 Wh
2026-02-25 00:00:00,4.93 Wh,5.31 Wh,0 Wh
2026-02-25 01:00:00,4.72 Wh,5.31 Wh,0 Wh
2026-02-25 02:00:00,4.85 Wh,5.28 Wh,0 Wh
2026-02-25 03:00:00,4.81 Wh,5.29 Wh,0 Wh
2026-02-25 04:00:00,4.79 Wh,5.27 Wh,0 Wh
2026-02-25 05:00:00,4.83 Wh,5.26 Wh,0 Wh
2026-02-25 06:00:00,4.63 Wh,5.23 Wh,0 Wh
2026-02-25 07:00:00,5.37 Wh,8.84 Wh,1.84 Wh
2026-02-25 08:00:00,9.48 Wh,23.1 Wh,8.78 Wh
2026-02-25 09:00:00,10.2 Wh,26.1 Wh,9.69 Wh
2026-02-25 10:00:00,17.8 Wh,54.1 Wh,18.5 Wh
2026-02-25 11:00:00,21.8 Wh,76.9 Wh,24.7 Wh
2026-02-25 12:00:00,14.8 Wh,89.4 Wh,27.1 Wh
2026-02-25 13:00:00,22.4 Wh,76.8 Wh,24.8 Wh
2026-02-25 14:00:00,16.0 Wh,47.8 Wh,16.4 Wh
2026-02-25 15:00:00,9.73 Wh,24.2 Wh,9.17 Wh
2026-02-25 16:00:00,8.51 Wh,20.0 Wh,7.81 Wh
2026-02-25 17:00:00,5.91 Wh,10.7 Wh,3.10 Wh
2026-02-25 18:00:00,4.74 Wh,5.28 Wh,0 Wh
2026-02-25 19:00:00,4.80 Wh,5.23 Wh,0 Wh
2026-02-25 20:00:00,4.76 Wh,5.26 Wh,0 Wh
