"Time","Min","Average","Max"
2026-02-22 07:00:00,19.8 kn,20.8 kn,21.4 kn
2026-02-22 08:00:00,18.7 kn,19.8 kn,21.0 kn
2026-02-22 09:00:00,19.0 kn,19.9 kn,20.6 kn
2026-02-22 10:00:00,18.6 kn,19.6 kn,20.4 kn
2026-02-22 11:00:00,17.7 kn,18.2 kn,19.2 kn
2026-02-22 12:00:00,15.6 kn,16.7 kn,18.1 kn
2026-02-22 13:00:00,13.9 kn,14.9 kn,16.2 kn
2026-02-22 14:00:00,13.5 kn,14.3 kn,14.9 kn
2026-02-22 15:00:00,12.5 kn,13.2 kn,13.6 kn
2026-02-22 16:00:00,12.2 kn,13.1 kn,13.8 kn
2026-02-22 17:00:00,10.8 kn,12.0 kn,12.5 kn
2026-02-22 18:00:00,10.1 kn,10.5 kn,11.1 kn
2026-02-22 19:00:00,9.47 kn,9.96 kn,10.4 kn
2026-02-22 20:00:00,9.06 kn,9.50 kn,9.89 kn
2026-02-22 21:00:00,7.89 kn,8.55 kn,9.17 kn
2026-02-22 22:00:00,8.36 kn,9.44 kn,10.5 kn
2026-02-22 23:00:00,9.16 kn,9.49 kn,9.93 kn
2026-02-23 00:00:00,7.66 kn,8.41 kn,9.60 kn
2026-02-23 01:00:00,6.55 kn,7.42 kn,8.13 kn
2026-02-23 02:00:00,5.83 kn,6.53 kn,7.08 kn
2026-02-23 03:00:00,4.37 kn,5.81 kn,7.15 kn
2026-02-23 04:00:00,4.26 kn,5.18 kn,6.43 kn
2026-02-23 05:00:00,2.70 kn,4.16 kn,5.64 kn
2026-02-23 06:00:00,2.97 kn,4.46 kn,5.25 kn
2026-02-23 07:00:00,2.20 kn,4.13 kn,5.25 kn
2026-02-23 08:00:00,3.97 kn,5.13 kn,5.89 kn
2026-02-23 09:00:00,4.12 kn,4.88 kn,5.56 kn
2026-02-23 10:00:00,4.02 kn,5.43 kn,6.28 kn
2026-02-23 11:00:00,3.40 kn,4.63 kn,5.46 kn
2026-02-23 12:00:00,4.53 kn,5.67 kn,7.41 kn
2026-02-23 13:00:00,5.79 kn,6.26 kn,7.50 kn
2026-02-23 14:00:00,4.90 kn,5.64 kn,6.08 kn
2026-02-23 15:00:00,4.70 kn,6.35 kn,6.71 kn
2026-02-23 16:00:00,4.88 kn,5.99 kn,6.84 kn
2026-02-23 17:00:00,5.87 kn,6.66 kn,7.13 kn
2026-02-23 18:00:00,5.87 kn,6.98 kn,7.93 kn
2026-02-23 19:00:00,7.70 kn,8.22 kn,8.77 kn
2026-02-23 20:00:00,7.97 kn,8.41 kn,8.88 kn
2026-02-23 21:00:00,8.83 kn,9.47 kn,10.4 kn
2026-02-23 22:00:00,9.62 kn,10.4 kn,11.1 kn
2026-02-23 23:00:00,10.4 kn,11.1 kn,12.0 kn
2026-02-24 00:00:00,10.0 kn,11.0 kn,12.1 kn
2026-02-24 01:00:00,10.3 kn,11.8 kn,12.8 kn
2026-02-24 02:00:00,12.8 kn,13.3 kn,14.0 kn
2026-02-24 03:00:00,12.1 kn,13.9 kn,15.1 kn
2026-02-24 04:00:00,12.9 kn,14.3 kn,15.2 kn
2026-02-24 05:00:00,14.0 kn,14.7 kn,15.4 kn
2026-02-24 06:00:00,14.4 kn,15.1 kn,15.7 kn
2026-02-24 07:00:00,13.9 kn,14.5 kn,15.3 kn
2026-02-24 08:00:00,12.3 kn,12.9 kn,14.4 kn
2026-02-24 09:00:00,13.5 kn,14.1 kn,14.8 kn
2026-02-24 10:00:00,14.5 kn,15.2 kn,15.8 kn
2026-02-24 11:00:00,14.5 kn,15.2 kn,16.0 kn
2026-02-24 12:00:00,13.3 kn,14.5 kn,15.8 kn
2026-02-24 13:00:00,13.9 kn,15.0 kn,15.8 kn
2026-02-24 14:00:00,12.6 kn,13.4 kn,14.4 kn
2026-02-24 15:00:00,12.7 kn,13.3 kn,14.0 kn
2026-02-24 16:00:00,14.0 kn,14.4 kn,14.8 kn
2026-02-24 17:00:00,13.7 kn,14.6 kn,15.3 kn
2026-02-24 18:00:00,13.7 kn,14.5 kn,15.3 kn
2026-02-24 19:00:00,13.8 kn,14.2 kn,14.8 kn
2026-02-24 20:00:00,13.0 kn,13.5 kn,14.8 kn
2026-02-24 21:00:00,12.8 kn,13.4 kn,14.6 kn
2026-02-24 22:00:00,13.4 kn,14.5 kn,15.5 kn
2026-02-24 23:00:00,12.7 kn,13.5 kn,14.8 kn
2026-02-25 00:00:00,11.0 kn,12.2 kn,13.1 kn
2026-02-25 01:00:00,9.60 kn,10.2 kn,11.0 kn
2026-02-25 02:00:00,8.42 kn,9.01 kn,9.97 kn
2026-02-25 03:00:00,7.52 kn,8.07 kn,8.86 kn
2026-02-25 04:00:00,5.70 kn,6.72 kn,7.52 kn
2026-02-25 05:00:00,5.75 kn,6.14 kn,6.59 kn
2026-02-25 06:00:00,5.17 kn,6.20 kn,7.62 kn
2026-02-25 07:00:00,4.16 kn,6.31 kn,7.76 kn
2026-02-25 08:00:00,1.71 kn,4.32 kn,8.05 kn
2026-02-25 09:00:00,1.56 kn,1.88 kn,2.64 kn
2026-02-25 10:00:00,0.583 kn,1.53 kn,2.16 kn
2026-02-25 11:00:00,0.991 kn,2.32 kn,3.60 kn
2026-02-25 12:00:00,2.14 kn,3.46 kn,4.37 kn
2026-02-25 13:00:00,0.408 kn,0.954 kn,2.14 kn
2026-02-25 14:00:00,1.96 kn,6.38 kn,8.59 kn
2026-02-25 15:00:00,5.64 kn,5.96 kn,8.67 kn
2026-02-25 16:00:00,4.45 kn,5.62 kn,7.37 kn
2026-02-25 17:00:00,7.04 kn,7.89 kn,8.81 kn
2026-02-25 18:00:00,7.04 kn,7.95 kn,8.84 kn
2026-02-25 19:00:00,7.41 kn,8.80 kn,9.23 kn
2026-02-25 20:00:00,7.27 kn,7.87 kn,8.73 kn
2026-02-25 21:00:00,6.51 kn,7.48 kn,8.28 kn
2026-02-25 22:00:00,7.04 kn,8.61 kn,10.1 kn
2026-02-25 23:00:00,8.69 kn,9.76 kn,10.7 kn
2026-02-26 00:00:00,8.73 kn,9.07 kn,9.35 kn
2026-02-26 01:00:00,8.42 kn,9.62 kn,10.3 kn
2026-02-26 02:00:00,8.98 kn,9.96 kn,10.7 kn
2026-02-26 03:00:00,8.49 kn,9.36 kn,10.3 kn
2026-02-26 04:00:00,8.20 kn,9.58 kn,10.4 kn
2026-02-26 05:00:00,8.77 kn,9.84 kn,11.6 kn
2026-02-26 06:00:00,11.2 kn,12.6 kn,13.8 kn
2026-02-26 07:00:00,9.39 kn,10.4 kn,11.5 kn
2026-02-26 08:00:00,8.88 kn,9.43 kn,10.3 kn
2026-02-26 09:00:00,9.62 kn,11.2 kn,12.4 kn
2026-02-26 10:00:00,10.3 kn,11.2 kn,12.5 kn
2026-02-26 11:00:00,8.90 kn,9.84 kn,10.8 kn
2026-02-26 12:00:00,8.69 kn,9.70 kn,10.2 kn
2026-02-26 13:00:00,8.83 kn,9.37 kn,9.91 kn
2026-02-26 14:00:00,9.33 kn,10.8 kn,11.8 kn
2026-02-26 15:00:00,10.7 kn,11.0 kn,11.6 kn
2026-02-26 16:00:00,10.2 kn,10.7 kn,11.5 kn
2026-02-26 17:00:00,9.99 kn,11.3 kn,11.8 kn
2026-02-26 18:00:00,10.2 kn,11.3 kn,12.2 kn
2026-02-26 19:00:00,11.7 kn,14.2 kn,16.6 kn
2026-02-26 20:00:00,10.7 kn,13.9 kn,16.4 kn
2026-02-26 21:00:00,7.04 kn,7.81 kn,10.0 kn
2026-02-26 22:00:00,4.20 kn,5.64 kn,7.10 kn
2026-02-26 23:00:00,4.18 kn,5.32 kn,6.51 kn
2026-02-27 00:00:00,3.98 kn,5.64 kn,7.25 kn
2026-02-27 01:00:00,2.86 kn,4.37 kn,7.48 kn
2026-02-27 02:00:00,3.67 kn,4.69 kn,6.67 kn
2026-02-27 03:00:00,1.96 kn,3.64 kn,6.65 kn
2026-02-27 04:00:00,1.17 kn,2.78 kn,4.55 kn
2026-02-27 05:00:00,1.65 kn,3.45 kn,5.58 kn
2026-02-27 06:00:00,2.08 kn,6.51 kn,9.64 kn
2026-02-27 07:00:00,2.74 kn,6.38 kn,9.43 kn
2026-02-27 08:00:00,2.80 kn,6.93 kn,12.7 kn
2026-02-27 09:00:00,3.19 kn,7.11 kn,10.0 kn
2026-02-27 10:00:00,3.19 kn,5.28 kn,6.40 kn
