"Time","Panel 1","Panel 2","Panel 3"
2026-02-13 08:00:00,895 mWh,0 Wh,0 Wh
2026-02-13 09:00:00,11.5 Wh,15.7 Wh,0 Wh
2026-02-13 10:00:00,15.5 Wh,25.1 Wh,0 Wh
2026-02-13 11:00:00,17.4 Wh,28.6 Wh,3.19 mWh
2026-02-13 12:00:00,14.8 Wh,23.6 Wh,0 Wh
2026-02-13 13:00:00,16.3 Wh,25.9 Wh,19.1 mWh
2026-02-13 14:00:00,13.9 Wh,22.2 Wh,0 Wh
2026-02-13 15:00:00,12.0 Wh,18.6 Wh,0 Wh
2026-02-13 16:00:00,7.82 Wh,10.9 Wh,0 Wh
2026-02-13 17:00:00,1.33 Wh,2.22 Wh,0 Wh
2026-02-13 18:00:00,0 Wh,2.45 mWh,6.40 mWh
2026-02-13 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-13 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-13 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-13 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-13 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 00:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 07:00:00,2.81 Wh,4.25 Wh,0 Wh
2026-02-14 08:00:00,10.8 Wh,16.4 Wh,0 Wh
2026-02-14 09:00:00,17.5 Wh,27.6 Wh,0 Wh
2026-02-14 10:00:00,18.5 Wh,29.7 Wh,0 Wh
2026-02-14 11:00:00,21.6 Wh,35.6 Wh,0 Wh
2026-02-14 12:00:00,21.8 Wh,35.3 Wh,0 Wh
2026-02-14 13:00:00,17.8 Wh,28.9 Wh,0 Wh
2026-02-14 14:00:00,16.9 Wh,28.6 Wh,0 Wh
2026-02-14 15:00:00,11.2 Wh,17.3 Wh,0 Wh
2026-02-14 16:00:00,6.78 Wh,9.36 Wh,0 Wh
2026-02-14 17:00:00,627 mWh,1.77 Wh,0 Wh
2026-02-14 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-14 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 00:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 03:00:00,0 Wh,0 Wh,3.58 mWh
2026-02-15 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 07:00:00,1.93 Wh,2.98 Wh,0 Wh
2026-02-15 08:00:00,6.07 Wh,9.50 Wh,0 Wh
2026-02-15 09:00:00,14.3 Wh,22.0 Wh,0 Wh
2026-02-15 10:00:00,17.3 Wh,27.2 Wh,0 Wh
2026-02-15 11:00:00,13.9 Wh,22.0 Wh,0 Wh
2026-02-15 12:00:00,26.6 Wh,42.4 Wh,9.25 mWh
2026-02-15 13:00:00,21.8 Wh,35.5 Wh,0 Wh
2026-02-15 14:00:00,16.4 Wh,25.7 Wh,0 Wh
2026-02-15 15:00:00,5.93 Wh,8.93 Wh,0 Wh
2026-02-15 16:00:00,3.18 Wh,5.22 Wh,0 Wh
2026-02-15 17:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-15 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 00:00:00,0 Wh,0 Wh,8.91 mWh
2026-02-16 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 07:00:00,0 Wh,12.6 mWh,0 Wh
2026-02-16 08:00:00,2.13 Wh,4.09 Wh,0 Wh
2026-02-16 09:00:00,6.48 Wh,9.06 Wh,0 Wh
2026-02-16 10:00:00,8.63 Wh,12.8 Wh,0 Wh
2026-02-16 11:00:00,6.11 Wh,8.48 Wh,0 Wh
2026-02-16 12:00:00,9.16 Wh,13.7 Wh,0 Wh
2026-02-16 13:00:00,8.34 Wh,12.3 Wh,0 Wh
2026-02-16 14:00:00,10.3 Wh,15.9 Wh,0 Wh
2026-02-16 15:00:00,13.9 Wh,21.9 Wh,0 Wh
2026-02-16 16:00:00,8.22 Wh,11.7 Wh,0 Wh
2026-02-16 17:00:00,1.92 Wh,3.73 Wh,0 Wh
2026-02-16 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-16 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 00:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 07:00:00,450 mWh,1.13 Wh,0 Wh
2026-02-17 08:00:00,2.04 Wh,3.13 Wh,0 Wh
2026-02-17 09:00:00,2.79 Wh,4.36 Wh,0 Wh
2026-02-17 10:00:00,6.07 Wh,8.60 Wh,0 Wh
2026-02-17 11:00:00,7.98 Wh,12.0 Wh,0 Wh
2026-02-17 12:00:00,7.91 Wh,11.7 Wh,0 Wh
2026-02-17 13:00:00,8.08 Wh,12.1 Wh,0 Wh
2026-02-17 14:00:00,7.05 Wh,10.3 Wh,0 Wh
2026-02-17 15:00:00,7.40 Wh,10.8 Wh,0 Wh
2026-02-17 16:00:00,3.61 Wh,5.61 Wh,0 Wh
2026-02-17 17:00:00,0 Wh,77.5 mWh,0 Wh
2026-02-17 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-17 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 00:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 07:00:00,3.76 Wh,6.61 Wh,0 Wh
2026-02-18 08:00:00,9.68 Wh,14.9 Wh,0 Wh
2026-02-18 09:00:00,12.6 Wh,25.5 Wh,0 Wh
2026-02-18 10:00:00,31.4 Wh,49.1 Wh,0 Wh
2026-02-18 11:00:00,35.2 Wh,62.6 Wh,0 Wh
2026-02-18 12:00:00,34.0 Wh,57.7 Wh,0 Wh
2026-02-18 13:00:00,33.4 Wh,55.2 Wh,0 Wh
2026-02-18 14:00:00,29.0 Wh,54.7 Wh,0 Wh
2026-02-18 15:00:00,18.9 Wh,30.7 Wh,0 Wh
2026-02-18 16:00:00,5.78 Wh,8.54 Wh,0 Wh
2026-02-18 17:00:00,83.4 mWh,1.15 Wh,0 Wh
2026-02-18 18:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 19:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 20:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 21:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 22:00:00,0 Wh,0 Wh,0 Wh
2026-02-18 23:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 00:00:00,0 Wh,12.0 mWh,28.7 mWh
2026-02-19 01:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 02:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 03:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 04:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 05:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 06:00:00,0 Wh,0 Wh,0 Wh
2026-02-19 07:00:00,1.28 Wh,2.66 Wh,0 Wh
2026-02-19 08:00:00,8.89 Wh,14.2 Wh,0 Wh
2026-02-19 09:00:00,11.3 Wh,21.7 Wh,0 Wh
2026-02-19 10:00:00,14.4 Wh,37.9 Wh,0 Wh
2026-02-19 11:00:00,16.2 Wh,45.2 Wh,0 Wh
2026-02-19 12:00:00,19.8 Wh,76.0 Wh,0 Wh
