"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-02-13 08:00:00,-2.44 Wh,-5.79 Wh,-39.4 Wh,-5.05 Wh,-30.9 Wh
2026-02-13 09:00:00,-4.56 Wh,-5.60 Wh,-33.9 Wh,-4.62 Wh,-112 Wh
2026-02-13 10:00:00,-4.69 Wh,-5.57 Wh,-27.1 Wh,-4.15 Wh,-93.0 Wh
2026-02-13 11:00:00,-4.74 Wh,-5.62 Wh,-27.2 Wh,-4.13 Wh,-92.7 Wh
2026-02-13 12:00:00,-4.78 Wh,-5.54 Wh,-27.0 Wh,-4.14 Wh,-96.5 Wh
2026-02-13 13:00:00,-4.75 Wh,-5.53 Wh,-27.2 Wh,-4.20 Wh,-138 Wh
2026-02-13 14:00:00,-4.65 Wh,-5.54 Wh,-27.6 Wh,-4.14 Wh,-137 Wh
2026-02-13 15:00:00,-4.44 Wh,-5.48 Wh,-27.6 Wh,-4.14 Wh,-139 Wh
2026-02-13 16:00:00,-4.63 Wh,-5.52 Wh,-27.9 Wh,-4.19 Wh,-140 Wh
2026-02-13 17:00:00,-4.86 Wh,-5.58 Wh,-37.2 Wh,-5.03 Wh,-138 Wh
2026-02-13 18:00:00,-4.59 Wh,-5.56 Wh,-31.0 Wh,-4.26 Wh,-129 Wh
2026-02-13 19:00:00,-1.76 Wh,-5.52 Wh,-29.4 Wh,-4.11 Wh,0 Wh
2026-02-13 20:00:00,-1.75 Wh,-5.56 Wh,-29.2 Wh,-4.13 Wh,0 Wh
2026-02-13 21:00:00,-2.61 Wh,-5.57 Wh,-28.4 Wh,-4.11 Wh,-14.7 Wh
2026-02-13 22:00:00,-2.56 Wh,-5.59 Wh,-27.8 Wh,-4.11 Wh,-14.4 Wh
2026-02-13 23:00:00,-1.89 Wh,-5.68 Wh,-27.7 Wh,-4.13 Wh,-2.25 Wh
2026-02-14 00:00:00,-1.77 Wh,-5.76 Wh,-28.2 Wh,-4.10 Wh,0 Wh
2026-02-14 01:00:00,-2.66 Wh,-5.74 Wh,-27.9 Wh,-4.11 Wh,-17.3 Wh
2026-02-14 02:00:00,-1.74 Wh,-5.94 Wh,-27.7 Wh,-4.10 Wh,0 Wh
2026-02-14 03:00:00,-2.07 Wh,-5.91 Wh,-27.8 Wh,-4.10 Wh,-4.42 Wh
2026-02-14 04:00:00,-4.21 Wh,-6.12 Wh,-27.4 Wh,-4.09 Wh,-36.2 Wh
2026-02-14 05:00:00,-4.40 Wh,-5.98 Wh,-27.7 Wh,-4.10 Wh,-34.6 Wh
2026-02-14 06:00:00,-2.88 Wh,-5.84 Wh,-28.0 Wh,-4.13 Wh,-17.6 Wh
2026-02-14 07:00:00,-2.98 Wh,-5.77 Wh,-27.9 Wh,-4.11 Wh,-29.5 Wh
2026-02-14 08:00:00,-2.97 Wh,-5.61 Wh,-28.2 Wh,-4.12 Wh,-16.8 Wh
2026-02-14 09:00:00,-4.01 Wh,-5.63 Wh,-28.2 Wh,-4.13 Wh,-34.0 Wh
2026-02-14 10:00:00,-3.91 Wh,-5.54 Wh,-28.2 Wh,-4.18 Wh,-36.4 Wh
2026-02-14 11:00:00,-2.01 Wh,-5.47 Wh,-28.8 Wh,-4.14 Wh,-4.06 Wh
2026-02-14 12:00:00,-1.74 Wh,-5.49 Wh,-28.6 Wh,-4.14 Wh,0 Wh
2026-02-14 13:00:00,-1.76 Wh,-5.52 Wh,-27.7 Wh,-4.13 Wh,0 Wh
2026-02-14 14:00:00,-1.76 Wh,-5.45 Wh,-27.6 Wh,-4.15 Wh,0 Wh
2026-02-14 15:00:00,-1.76 Wh,-5.51 Wh,-28.4 Wh,-4.13 Wh,0 Wh
2026-02-14 16:00:00,-1.77 Wh,-5.47 Wh,-28.4 Wh,-4.12 Wh,0 Wh
2026-02-14 17:00:00,-3.97 Wh,-5.59 Wh,-28.0 Wh,-4.14 Wh,-34.6 Wh
2026-02-14 18:00:00,-3.02 Wh,-5.48 Wh,-29.3 Wh,-4.14 Wh,-32.9 Wh
2026-02-14 19:00:00,-3.23 Wh,-5.48 Wh,-28.7 Wh,-4.12 Wh,-38.6 Wh
2026-02-14 20:00:00,-4.16 Wh,-5.52 Wh,-28.7 Wh,-4.14 Wh,-65.6 Wh
2026-02-14 21:00:00,-1.73 Wh,-5.55 Wh,-28.6 Wh,-4.11 Wh,0 Wh
