"Time","Motor"
2026-02-14 10:50:00,36.3 Wh
2026-02-14 11:00:00,28.3 Wh
2026-02-14 11:10:00,0 Wh
2026-02-14 11:20:00,0 Wh
2026-02-14 11:30:00,0 Wh
2026-02-14 11:40:00,0 Wh
2026-02-14 11:50:00,0 Wh
2026-02-14 12:00:00,0 Wh
2026-02-14 12:10:00,0 Wh
2026-02-14 12:20:00,0 Wh
2026-02-14 12:30:00,0 Wh
2026-02-14 12:40:00,0 Wh
2026-02-14 12:50:00,0 Wh
2026-02-14 13:00:00,0 Wh
2026-02-14 13:10:00,0 Wh
2026-02-14 13:20:00,0 Wh
2026-02-14 13:30:00,0 Wh
2026-02-14 13:40:00,0 Wh
2026-02-14 13:50:00,0 Wh
2026-02-14 14:00:00,0 Wh
2026-02-14 14:10:00,0 Wh
2026-02-14 14:20:00,0 Wh
2026-02-14 14:30:00,0 Wh
2026-02-14 14:40:00,0 Wh
2026-02-14 14:50:00,0 Wh
2026-02-14 15:00:00,0 Wh
2026-02-14 15:10:00,0 Wh
2026-02-14 15:20:00,0 Wh
2026-02-14 15:30:00,0 Wh
2026-02-14 15:40:00,0 Wh
2026-02-14 15:50:00,0 Wh
2026-02-14 16:00:00,0 Wh
2026-02-14 16:10:00,0 Wh
2026-02-14 16:20:00,0 Wh
2026-02-14 16:30:00,0 Wh
2026-02-14 16:40:00,0 Wh
2026-02-14 16:50:00,0 Wh
2026-02-14 17:00:00,0 Wh
2026-02-14 17:10:00,33.3 Wh
2026-02-14 17:20:00,38.5 Wh
2026-02-14 17:30:00,38.4 Wh
2026-02-14 17:40:00,38.2 Wh
2026-02-14 17:50:00,60.0 Wh
2026-02-14 18:00:00,77.3 Wh
2026-02-14 18:10:00,77.6 Wh
2026-02-14 18:20:00,45.1 Wh
2026-02-14 18:30:00,0 Wh
2026-02-14 18:40:00,0 Wh
2026-02-14 18:50:00,0 Wh
2026-02-14 19:00:00,0 Wh
2026-02-14 19:10:00,0 Wh
