"Time","Min","Average","Max"
2026-02-13 08:00:00,2.33 kn,2.81 kn,4.16 kn
2026-02-13 08:30:00,4.16 kn,5.90 kn,9.17 kn
2026-02-13 09:00:00,9.17 kn,11.0 kn,12.0 kn
2026-02-13 09:30:00,11.0 kn,12.1 kn,13.0 kn
2026-02-13 10:00:00,10.6 kn,11.2 kn,12.2 kn
2026-02-13 10:30:00,9.56 kn,10.6 kn,11.2 kn
2026-02-13 11:00:00,8.40 kn,8.92 kn,9.64 kn
2026-02-13 11:30:00,7.54 kn,9.32 kn,10.1 kn
2026-02-13 12:00:00,7.15 kn,8.43 kn,9.45 kn
2026-02-13 12:30:00,8.65 kn,9.59 kn,10.6 kn
2026-02-13 13:00:00,8.86 kn,11.3 kn,13.3 kn
2026-02-13 13:30:00,11.1 kn,12.8 kn,14.0 kn
2026-02-13 14:00:00,10.4 kn,10.8 kn,11.5 kn
2026-02-13 14:30:00,11.5 kn,12.0 kn,12.6 kn
2026-02-13 15:00:00,12.4 kn,12.9 kn,13.8 kn
2026-02-13 15:30:00,12.0 kn,13.1 kn,13.9 kn
2026-02-13 16:00:00,11.8 kn,12.2 kn,12.6 kn
2026-02-13 16:30:00,11.0 kn,11.9 kn,12.7 kn
2026-02-13 17:00:00,11.0 kn,11.7 kn,12.4 kn
2026-02-13 17:30:00,11.9 kn,12.1 kn,12.5 kn
2026-02-13 18:00:00,11.7 kn,12.6 kn,13.2 kn
2026-02-13 18:30:00,10.2 kn,11.5 kn,12.6 kn
2026-02-13 19:00:00,11.3 kn,12.4 kn,12.8 kn
2026-02-13 19:30:00,11.7 kn,12.5 kn,13.4 kn
2026-02-13 20:00:00,11.7 kn,12.3 kn,13.0 kn
2026-02-13 20:30:00,11.3 kn,12.1 kn,12.7 kn
2026-02-13 21:00:00,10.0 kn,11.0 kn,11.9 kn
2026-02-13 21:30:00,9.29 kn,10.2 kn,11.5 kn
2026-02-13 22:00:00,8.09 kn,9.08 kn,10.3 kn
2026-02-13 22:30:00,5.81 kn,7.86 kn,10.1 kn
2026-02-13 23:00:00,4.47 kn,6.12 kn,7.39 kn
2026-02-13 23:30:00,1.87 kn,4.60 kn,7.58 kn
2026-02-14 00:00:00,4.24 kn,5.08 kn,7.37 kn
2026-02-14 00:30:00,3.15 kn,4.69 kn,5.79 kn
2026-02-14 01:00:00,0.739 kn,2.34 kn,3.63 kn
2026-02-14 01:30:00,1.07 kn,1.85 kn,3.54 kn
2026-02-14 02:00:00,0.816 kn,1.37 kn,1.81 kn
2026-02-14 02:30:00,0.467 kn,1.18 kn,1.67 kn
2026-02-14 03:00:00,1.19 kn,1.78 kn,2.49 kn
2026-02-14 03:30:00,2.47 kn,3.20 kn,3.73 kn
2026-02-14 04:00:00,3.13 kn,3.80 kn,4.35 kn
2026-02-14 04:30:00,2.20 kn,3.10 kn,4.08 kn
2026-02-14 05:00:00,0.933 kn,1.82 kn,2.70 kn
2026-02-14 05:30:00,1.21 kn,1.98 kn,2.70 kn
2026-02-14 06:00:00,0.797 kn,2.80 kn,4.39 kn
2026-02-14 06:30:00,0.991 kn,2.93 kn,3.98 kn
2026-02-14 07:00:00,0.622 kn,1.41 kn,2.47 kn
2026-02-14 07:30:00,1.52 kn,2.21 kn,2.59 kn
