"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor"
2026-05-14 08:00:00,3.75 Wh,,39.4 Wh,5.38 Wh,138 Wh
2026-05-14 09:00:00,4.57 Wh,,29.9 Wh,4.58 Wh,166 Wh
2026-05-14 10:00:00,4.60 Wh,,27.4 Wh,4.46 Wh,170 Wh
2026-05-14 11:00:00,4.55 Wh,,27.2 Wh,4.45 Wh,166 Wh
2026-05-14 12:00:00,4.68 Wh,,27.0 Wh,4.47 Wh,145 Wh
2026-05-14 13:00:00,4.93 Wh,,27.2 Wh,4.51 Wh,147 Wh
2026-05-14 14:00:00,4.69 Wh,,27.3 Wh,4.49 Wh,167 Wh
2026-05-14 15:00:00,4.84 Wh,,26.9 Wh,4.49 Wh,183 Wh
2026-05-14 16:00:00,4.63 Wh,,27.0 Wh,4.48 Wh,185 Wh
2026-05-14 17:00:00,4.70 Wh,,27.4 Wh,4.47 Wh,153 Wh
2026-05-14 18:00:00,4.77 Wh,,27.5 Wh,4.49 Wh,97.5 Wh
2026-05-14 19:00:00,4.53 Wh,,27.2 Wh,4.45 Wh,81.2 Wh
2026-05-14 20:00:00,4.71 Wh,,27.1 Wh,4.44 Wh,90.6 Wh
2026-05-14 21:00:00,4.63 Wh,,28.9 Wh,4.44 Wh,98.7 Wh
2026-05-14 22:00:00,4.73 Wh,,29.0 Wh,4.44 Wh,98.1 Wh
2026-05-14 23:00:00,4.33 Wh,,28.6 Wh,4.41 Wh,103 Wh
2026-05-15 00:00:00,4.28 Wh,,28.9 Wh,4.41 Wh,71.3 Wh
2026-05-15 01:00:00,4.52 Wh,,29.7 Wh,4.43 Wh,72.6 Wh
2026-05-15 02:00:00,4.27 Wh,,29.0 Wh,4.41 Wh,62.3 Wh
2026-05-15 03:00:00,4.62 Wh,,29.0 Wh,4.41 Wh,67.2 Wh
2026-05-15 04:00:00,4.61 Wh,,29.7 Wh,4.42 Wh,80.6 Wh
2026-05-15 05:00:00,4.62 Wh,,29.3 Wh,4.39 Wh,81.2 Wh
2026-05-15 06:00:00,4.62 Wh,,28.7 Wh,4.38 Wh,82.0 Wh
2026-05-15 07:00:00,4.67 Wh,,28.0 Wh,4.41 Wh,79.6 Wh
2026-05-15 08:00:00,4.34 Wh,,27.1 Wh,4.39 Wh,68.9 Wh
2026-05-15 09:00:00,4.46 Wh,,26.8 Wh,4.39 Wh,76.9 Wh
2026-05-15 10:00:00,4.54 Wh,,27.3 Wh,4.42 Wh,81.5 Wh
2026-05-15 11:00:00,4.53 Wh,,27.7 Wh,4.42 Wh,82.6 Wh
2026-05-15 12:00:00,4.44 Wh,,27.1 Wh,4.43 Wh,82.5 Wh
2026-05-15 13:00:00,4.56 Wh,,27.0 Wh,4.44 Wh,81.3 Wh
2026-05-15 14:00:00,4.60 Wh,,27.1 Wh,4.46 Wh,81.3 Wh
2026-05-15 15:00:00,4.46 Wh,,26.9 Wh,4.44 Wh,69.4 Wh
2026-05-15 16:00:00,4.16 Wh,,26.5 Wh,4.43 Wh,83.4 Wh
2026-05-15 17:00:00,4.37 Wh,,27.3 Wh,4.45 Wh,82.7 Wh
2026-05-15 18:00:00,4.48 Wh,,27.3 Wh,4.41 Wh,91.8 Wh
2026-05-15 19:00:00,4.34 Wh,,27.4 Wh,4.39 Wh,94.9 Wh
2026-05-15 20:00:00,4.53 Wh,,28.9 Wh,4.42 Wh,115 Wh
2026-05-15 21:00:00,4.56 Wh,,28.1 Wh,4.38 Wh,134 Wh
2026-05-15 22:00:00,4.59 Wh,,28.3 Wh,4.38 Wh,118 Wh
