"Time","Min","Average","Max"
2026-03-10 06:00:00,18.3 kn,19.9 kn,21.9 kn
2026-03-10 07:00:00,17.6 kn,18.7 kn,19.8 kn
2026-03-10 08:00:00,18.7 kn,20.5 kn,22.7 kn
2026-03-10 09:00:00,19.7 kn,22.5 kn,23.4 kn
2026-03-10 10:00:00,18.8 kn,22.6 kn,23.5 kn
2026-03-10 11:00:00,22.0 kn,24.9 kn,26.7 kn
2026-03-10 12:00:00,21.2 kn,22.3 kn,23.2 kn
2026-03-10 13:00:00,20.3 kn,21.2 kn,23.2 kn
2026-03-10 14:00:00,21.5 kn,23.0 kn,24.7 kn
2026-03-10 15:00:00,21.7 kn,23.1 kn,24.2 kn
2026-03-10 16:00:00,18.4 kn,20.8 kn,22.8 kn
2026-03-10 17:00:00,20.2 kn,21.4 kn,22.1 kn
2026-03-10 18:00:00,18.8 kn,20.4 kn,22.5 kn
2026-03-10 19:00:00,17.5 kn,18.7 kn,20.0 kn
2026-03-10 20:00:00,17.8 kn,19.2 kn,20.4 kn
2026-03-10 21:00:00,20.4 kn,22.5 kn,24.3 kn
2026-03-10 22:00:00,22.4 kn,24.1 kn,25.9 kn
2026-03-10 23:00:00,21.8 kn,23.1 kn,23.9 kn
2026-03-11 00:00:00,19.4 kn,20.3 kn,22.4 kn
2026-03-11 01:00:00,17.8 kn,19.2 kn,20.2 kn
2026-03-11 02:00:00,17.4 kn,18.0 kn,19.0 kn
2026-03-11 03:00:00,17.3 kn,17.9 kn,18.4 kn
2026-03-11 04:00:00,16.2 kn,17.3 kn,18.4 kn
2026-03-11 05:00:00,15.0 kn,16.0 kn,17.0 kn
2026-03-11 06:00:00,15.0 kn,16.1 kn,16.9 kn
2026-03-11 07:00:00,15.1 kn,16.6 kn,17.3 kn
2026-03-11 08:00:00,13.5 kn,15.2 kn,16.6 kn
2026-03-11 09:00:00,11.4 kn,12.1 kn,13.9 kn
2026-03-11 10:00:00,10.8 kn,12.5 kn,13.0 kn
2026-03-11 11:00:00,9.87 kn,11.4 kn,12.5 kn
2026-03-11 12:00:00,11.0 kn,13.6 kn,15.2 kn
2026-03-11 13:00:00,11.5 kn,12.9 kn,14.4 kn
2026-03-11 14:00:00,12.0 kn,13.2 kn,14.4 kn
2026-03-11 15:00:00,13.6 kn,14.6 kn,16.1 kn
2026-03-11 16:00:00,13.8 kn,15.3 kn,16.4 kn
2026-03-11 17:00:00,15.6 kn,18.1 kn,20.0 kn
2026-03-11 18:00:00,14.6 kn,16.3 kn,18.9 kn
2026-03-11 19:00:00,15.9 kn,16.7 kn,17.7 kn
2026-03-11 20:00:00,15.7 kn,16.1 kn,16.8 kn
2026-03-11 21:00:00,12.7 kn,14.8 kn,15.4 kn
2026-03-11 22:00:00,11.9 kn,13.2 kn,14.8 kn
2026-03-11 23:00:00,11.5 kn,12.9 kn,14.7 kn
2026-03-12 00:00:00,13.8 kn,14.8 kn,15.7 kn
2026-03-12 01:00:00,14.2 kn,15.4 kn,16.6 kn
2026-03-12 02:00:00,14.4 kn,16.8 kn,18.1 kn
2026-03-12 03:00:00,17.9 kn,18.7 kn,19.3 kn
2026-03-12 04:00:00,16.0 kn,17.2 kn,18.9 kn
2026-03-12 05:00:00,16.3 kn,16.8 kn,17.3 kn
2026-03-12 06:00:00,16.6 kn,17.4 kn,18.3 kn
2026-03-12 07:00:00,16.0 kn,16.7 kn,17.3 kn
2026-03-12 08:00:00,14.3 kn,15.7 kn,16.7 kn
2026-03-12 09:00:00,14.5 kn,15.3 kn,16.5 kn
2026-03-12 10:00:00,15.8 kn,16.7 kn,17.6 kn
2026-03-12 11:00:00,13.9 kn,15.5 kn,16.5 kn
2026-03-12 12:00:00,13.3 kn,14.4 kn,15.2 kn
2026-03-12 13:00:00,13.4 kn,15.2 kn,17.2 kn
2026-03-12 14:00:00,13.9 kn,16.6 kn,18.2 kn
2026-03-12 15:00:00,8.59 kn,13.1 kn,16.0 kn
2026-03-12 16:00:00,3.32 kn,4.60 kn,8.59 kn
2026-03-12 17:00:00,,,
