"Time","POB","VPB 1","Core Load Switches","Payload Load Switches","Motor"
2026-03-06 06:00:00,-3.91 Wh,-4.77 Wh,-34.8 Wh,-5.59 Wh,0 Wh
2026-03-06 07:00:00,-4.10 Wh,-4.42 Wh,-33.9 Wh,-5.52 Wh,0 Wh
2026-03-06 08:00:00,-4.13 Wh,-4.34 Wh,-33.8 Wh,-5.53 Wh,0 Wh
2026-03-06 09:00:00,-4.12 Wh,-4.39 Wh,-33.9 Wh,-5.56 Wh,0 Wh
2026-03-06 10:00:00,-4.11 Wh,-4.52 Wh,-29.3 Wh,-5.45 Wh,0 Wh
2026-03-06 11:00:00,-5.63 Wh,-4.57 Wh,-38.9 Wh,-5.32 Wh,-86.5 Wh
2026-03-06 12:00:00,-6.90 Wh,-4.58 Wh,-29.3 Wh,-4.58 Wh,-174 Wh
2026-03-06 13:00:00,-7.15 Wh,-4.51 Wh,-27.2 Wh,-4.35 Wh,-208 Wh
2026-03-06 14:00:00,-6.83 Wh,-4.57 Wh,-27.2 Wh,-4.33 Wh,-176 Wh
2026-03-06 15:00:00,-6.88 Wh,-4.50 Wh,-27.1 Wh,-4.35 Wh,-157 Wh
2026-03-06 16:00:00,-6.81 Wh,-4.57 Wh,-27.2 Wh,-4.32 Wh,-148 Wh
2026-03-06 17:00:00,-6.67 Wh,-4.63 Wh,-27.2 Wh,-4.32 Wh,-147 Wh
2026-03-06 18:00:00,-7.03 Wh,-4.69 Wh,-27.8 Wh,-4.30 Wh,-123 Wh
2026-03-06 19:00:00,-6.96 Wh,-4.78 Wh,-28.4 Wh,-4.29 Wh,-136 Wh
2026-03-06 20:00:00,-6.82 Wh,-4.63 Wh,-27.7 Wh,-4.27 Wh,-38.3 Wh
2026-03-06 21:00:00,-6.56 Wh,-4.63 Wh,-27.6 Wh,-4.26 Wh,-24.8 Wh
2026-03-06 22:00:00,-6.53 Wh,-4.65 Wh,-27.3 Wh,-4.29 Wh,-14.1 Wh
2026-03-06 23:00:00,-4.25 Wh,-4.47 Wh,-27.7 Wh,-4.27 Wh,-133 mWh
2026-03-07 00:00:00,-4.20 Wh,-4.54 Wh,-27.5 Wh,-4.27 Wh,0 Wh
2026-03-07 01:00:00,-4.66 Wh,-4.48 Wh,-27.5 Wh,-4.25 Wh,-5.44 Wh
2026-03-07 02:00:00,-4.63 Wh,-4.47 Wh,-27.7 Wh,-4.27 Wh,-4.39 Wh
2026-03-07 03:00:00,-4.21 Wh,-4.43 Wh,-27.9 Wh,-4.26 Wh,0 Wh
2026-03-07 04:00:00,-5.38 Wh,-4.48 Wh,-29.4 Wh,-4.27 Wh,-19.5 Wh
2026-03-07 05:00:00,-5.07 Wh,-4.44 Wh,-29.7 Wh,-4.25 Wh,-9.08 Wh
2026-03-07 06:00:00,-6.04 Wh,-4.47 Wh,-29.2 Wh,-4.27 Wh,-22.3 Wh
2026-03-07 07:00:00,-6.36 Wh,-4.57 Wh,-29.5 Wh,-4.27 Wh,-34.6 Wh
2026-03-07 08:00:00,-6.65 Wh,-4.60 Wh,-28.3 Wh,-4.32 Wh,-47.3 Wh
2026-03-07 09:00:00,-6.50 Wh,-4.71 Wh,-28.2 Wh,-4.32 Wh,-42.1 Wh
2026-03-07 10:00:00,-6.36 Wh,-4.93 Wh,-27.9 Wh,-4.36 Wh,-34.5 Wh
2026-03-07 11:00:00,-6.38 Wh,-4.83 Wh,-27.8 Wh,-4.35 Wh,-28.5 Wh
2026-03-07 12:00:00,-6.21 Wh,-4.44 Wh,-28.0 Wh,-4.39 Wh,-32.0 Wh
2026-03-07 13:00:00,-6.33 Wh,-4.43 Wh,-27.9 Wh,-4.39 Wh,-34.9 Wh
2026-03-07 14:00:00,-6.52 Wh,-4.45 Wh,-28.0 Wh,-4.37 Wh,-33.2 Wh
2026-03-07 15:00:00,-5.54 Wh,-4.49 Wh,-28.4 Wh,-4.38 Wh,-18.2 Wh
2026-03-07 16:00:00,-6.73 Wh,-4.51 Wh,-27.3 Wh,-4.35 Wh,-17.8 Wh
2026-03-07 17:00:00,-6.14 Wh,-4.53 Wh,-27.2 Wh,-4.37 Wh,-41.4 Wh
2026-03-07 18:00:00,-6.18 Wh,-4.43 Wh,-27.9 Wh,-4.31 Wh,-38.4 Wh
2026-03-07 19:00:00,-5.60 Wh,-4.52 Wh,-27.7 Wh,-4.30 Wh,-31.3 Wh
2026-03-07 20:00:00,-5.96 Wh,-4.46 Wh,-28.0 Wh,-4.30 Wh,-27.8 Wh
2026-03-07 21:00:00,-5.15 Wh,-4.52 Wh,-27.7 Wh,-4.29 Wh,-4.27 Wh
2026-03-07 22:00:00,-6.11 Wh,-4.43 Wh,-27.9 Wh,-4.28 Wh,-5.58 Wh
2026-03-07 23:00:00,-4.93 Wh,-4.55 Wh,-27.6 Wh,-4.30 Wh,-4.72 Wh
2026-03-08 00:00:00,-5.13 Wh,-4.48 Wh,-27.4 Wh,-4.27 Wh,-6.09 Wh
2026-03-08 01:00:00,-6.11 Wh,-4.54 Wh,-27.4 Wh,-4.28 Wh,-11.3 Wh
2026-03-08 03:00:00,-5.24 Wh,-4.52 Wh,-27.4 Wh,-4.25 Wh,-6.24 Wh
2026-03-08 04:00:00,-4.17 Wh,-4.55 Wh,-27.8 Wh,-4.25 Wh,0 Wh
2026-03-08 05:00:00,-4.17 Wh,-4.51 Wh,-27.8 Wh,-4.27 Wh,0 Wh
2026-03-08 06:00:00,-6.77 Wh,-4.46 Wh,-27.6 Wh,-4.23 Wh,-11.8 Wh
2026-03-08 07:00:00,-5.97 Wh,-4.48 Wh,-27.4 Wh,-4.28 Wh,-10.5 Wh
2026-03-08 08:00:00,-4.38 Wh,-4.55 Wh,-27.9 Wh,-4.27 Wh,-2.68 Wh
2026-03-08 09:00:00,-5.91 Wh,-4.60 Wh,-28.0 Wh,-4.29 Wh,-12.9 Wh
2026-03-08 10:00:00,-6.12 Wh,-4.69 Wh,-27.8 Wh,-4.33 Wh,-15.9 Wh
2026-03-08 11:00:00,-6.05 Wh,-4.46 Wh,-28.0 Wh,-4.37 Wh,-20.0 Wh
2026-03-08 12:00:00,-6.16 Wh,-4.30 Wh,-27.9 Wh,-4.38 Wh,-15.7 Wh
2026-03-08 13:00:00,-6.01 Wh,-4.72 Wh,-28.1 Wh,-4.43 Wh,-25.8 Wh
2026-03-08 14:00:00,-6.06 Wh,-4.65 Wh,-28.0 Wh,-4.44 Wh,-26.8 Wh
2026-03-08 15:00:00,-6.16 Wh,-4.53 Wh,-28.2 Wh,-4.46 Wh,-29.1 Wh
2026-03-08 16:00:00,-6.49 Wh,-4.55 Wh,-26.8 Wh,-4.42 Wh,-23.2 Wh
2026-03-08 17:00:00,-4.19 Wh,-4.43 Wh,-26.7 Wh,-4.38 Wh,0 Wh
2026-03-08 18:00:00,-4.18 Wh,-4.49 Wh,-26.1 Wh,-4.36 Wh,0 Wh
2026-03-08 19:00:00,-6.17 Wh,-4.55 Wh,-26.6 Wh,-4.31 Wh,-28.6 Wh
2026-03-08 20:00:00,-6.62 Wh,-4.47 Wh,-27.3 Wh,-4.30 Wh,-39.5 Wh
2026-03-08 21:00:00,-6.43 Wh,-4.51 Wh,-27.2 Wh,-4.29 Wh,-38.1 Wh
2026-03-08 22:00:00,-6.68 Wh,-4.53 Wh,-27.2 Wh,-4.28 Wh,-36.4 Wh
2026-03-08 23:00:00,-4.19 Wh,-4.63 Wh,-27.4 Wh,-4.29 Wh,0 Wh
2026-03-09 00:00:00,-4.20 Wh,-4.77 Wh,-27.6 Wh,-4.26 Wh,0 Wh
2026-03-09 01:00:00,-4.16 Wh,-4.69 Wh,-28.0 Wh,-4.29 Wh,0 Wh
2026-03-09 02:00:00,-4.52 Wh,-4.65 Wh,-27.9 Wh,-4.26 Wh,-3.60 Wh
2026-03-09 03:00:00,-6.70 Wh,-4.66 Wh,-27.5 Wh,-4.30 Wh,-25.6 Wh
2026-03-09 04:00:00,-6.51 Wh,-4.57 Wh,-27.2 Wh,-4.29 Wh,-25.9 Wh
2026-03-09 05:00:00,-6.38 Wh,-4.47 Wh,-27.2 Wh,-4.30 Wh,-29.0 Wh
2026-03-09 06:00:00,-6.27 Wh,-4.51 Wh,-27.5 Wh,-4.27 Wh,-32.7 Wh
2026-03-09 07:00:00,-6.46 Wh,-4.53 Wh,-27.1 Wh,-4.28 Wh,-36.6 Wh
2026-03-09 08:00:00,-6.35 Wh,-4.54 Wh,-27.2 Wh,-4.27 Wh,-37.7 Wh
2026-03-09 09:00:00,-6.24 Wh,-4.49 Wh,-26.2 Wh,-4.30 Wh,-38.3 Wh
2026-03-09 10:00:00,-6.38 Wh,-4.49 Wh,-26.5 Wh,-4.30 Wh,-41.1 Wh
2026-03-09 11:00:00,-6.42 Wh,-4.49 Wh,-26.2 Wh,-4.33 Wh,-57.5 Wh
2026-03-09 12:00:00,-6.42 Wh,-4.46 Wh,-26.5 Wh,-4.30 Wh,-64.0 Wh
2026-03-09 13:00:00,-6.37 Wh,-4.41 Wh,-26.4 Wh,-4.33 Wh,-72.3 Wh
2026-03-09 14:00:00,-6.03 Wh,-4.47 Wh,-26.7 Wh,-4.31 Wh,-79.6 Wh
2026-03-09 15:00:00,-6.41 Wh,-4.72 Wh,-26.2 Wh,-4.35 Wh,-68.7 Wh
2026-03-09 16:00:00,-6.45 Wh,-4.75 Wh,-26.4 Wh,-4.30 Wh,-56.5 Wh
2026-03-09 17:00:00,-6.50 Wh,-4.69 Wh,-27.2 Wh,-4.33 Wh,-40.2 Wh
2026-03-09 18:00:00,-6.29 Wh,-4.66 Wh,-27.3 Wh,-4.28 Wh,-41.4 Wh
2026-03-09 19:00:00,-6.27 Wh,-4.58 Wh,-27.1 Wh,-4.31 Wh,-41.9 Wh
2026-03-09 20:00:00,-6.38 Wh,-4.57 Wh,-27.2 Wh,-4.26 Wh,-41.2 Wh
2026-03-09 21:00:00,-6.21 Wh,-4.56 Wh,-27.3 Wh,-4.27 Wh,-41.7 Wh
2026-03-09 22:00:00,-6.42 Wh,-4.60 Wh,-27.4 Wh,-4.25 Wh,-49.2 Wh
2026-03-09 23:00:00,-6.33 Wh,-4.58 Wh,-27.4 Wh,-4.28 Wh,-46.6 Wh
2026-03-10 00:00:00,-6.32 Wh,-4.52 Wh,-27.3 Wh,-4.26 Wh,-56.6 Wh
2026-03-10 01:00:00,-6.45 Wh,-4.51 Wh,-27.8 Wh,-4.26 Wh,-74.5 Wh
2026-03-10 02:00:00,-6.60 Wh,-4.47 Wh,-27.3 Wh,-4.27 Wh,-75.9 Wh
2026-03-10 03:00:00,-6.32 Wh,-4.46 Wh,-27.2 Wh,-4.26 Wh,-66.2 Wh
2026-03-10 04:00:00,-6.67 Wh,-4.44 Wh,-27.4 Wh,-4.26 Wh,-53.4 Wh
2026-03-10 05:00:00,-6.37 Wh,-4.37 Wh,-27.7 Wh,-4.24 Wh,-55.9 Wh
2026-03-10 06:00:00,-6.56 Wh,-4.48 Wh,-27.8 Wh,-4.27 Wh,-51.5 Wh
2026-03-10 07:00:00,-6.20 Wh,-4.54 Wh,-27.5 Wh,-4.25 Wh,-46.4 Wh
2026-03-10 08:00:00,-6.37 Wh,-4.68 Wh,-26.6 Wh,-4.28 Wh,-37.6 Wh
2026-03-10 09:00:00,-6.40 Wh,-4.63 Wh,-25.9 Wh,-4.27 Wh,-62.7 Wh
2026-03-10 10:00:00,-6.64 Wh,-4.66 Wh,-26.6 Wh,-4.29 Wh,-74.7 Wh
2026-03-10 11:00:00,-6.39 Wh,-4.61 Wh,-26.1 Wh,-4.29 Wh,-75.9 Wh
2026-03-10 12:00:00,-6.42 Wh,-4.49 Wh,-25.9 Wh,-4.30 Wh,-63.5 Wh
2026-03-10 13:00:00,-6.33 Wh,-4.42 Wh,-26.0 Wh,-4.27 Wh,-77.9 Wh
2026-03-10 14:00:00,-6.21 Wh,-4.33 Wh,-25.8 Wh,-4.32 Wh,-83.4 Wh
2026-03-10 15:00:00,-4.16 Wh,-4.41 Wh,-26.4 Wh,-4.29 Wh,-1.04 Wh
2026-03-10 16:00:00,-5.71 Wh,-4.43 Wh,-26.0 Wh,-4.31 Wh,-35.8 Wh
2026-03-10 17:00:00,-6.47 Wh,-4.44 Wh,-27.2 Wh,-4.29 Wh,-52.5 Wh
2026-03-10 18:00:00,-6.50 Wh,-4.41 Wh,-27.4 Wh,-4.31 Wh,-41.8 Wh
2026-03-10 19:00:00,-6.46 Wh,-4.42 Wh,-27.7 Wh,-4.28 Wh,-40.3 Wh
2026-03-10 20:00:00,-6.32 Wh,-4.40 Wh,-27.4 Wh,-4.30 Wh,-68.1 Wh
2026-03-10 21:00:00,-4.48 Wh,-4.49 Wh,-27.4 Wh,-4.27 Wh,-16.3 Wh
