"Time","POB"
2026-03-06 04:00:00,28.9 V
2026-03-06 07:00:00,28.9 V
2026-03-06 10:00:00,28.7 V
2026-03-06 13:00:00,28.5 V
2026-03-06 16:00:00,28.3 V
2026-03-06 19:00:00,28.2 V
2026-03-06 22:00:00,28.2 V
2026-03-07 01:00:00,28.1 V
2026-03-07 04:00:00,28.1 V
2026-03-07 07:00:00,28.1 V
2026-03-07 10:00:00,28.1 V
2026-03-07 13:00:00,28.2 V
2026-03-07 16:00:00,28.1 V
2026-03-07 19:00:00,28.1 V
2026-03-07 22:00:00,28.1 V
2026-03-08 01:00:00,28.1 V
2026-03-08 05:00:00,28.0 V
2026-03-08 08:00:00,28.0 V
2026-03-08 11:00:00,28.1 V
2026-03-08 14:00:00,28.1 V
2026-03-08 17:00:00,28.1 V
2026-03-08 20:00:00,28.1 V
2026-03-08 23:00:00,28.1 V
2026-03-09 02:00:00,28.0 V
2026-03-09 05:00:00,28.0 V
2026-03-09 08:00:00,28.0 V
2026-03-09 11:00:00,28.0 V
2026-03-09 14:00:00,28.0 V
2026-03-09 17:00:00,28.0 V
2026-03-09 20:00:00,28.0 V
2026-03-09 23:00:00,27.9 V
2026-03-10 02:00:00,27.8 V
2026-03-10 05:00:00,27.7 V
2026-03-10 08:00:00,27.7 V
2026-03-10 11:00:00,27.7 V
2026-03-10 14:00:00,27.8 V
2026-03-10 17:00:00,27.7 V
2026-03-10 20:00:00,27.6 V
2026-03-10 23:00:00,27.5 V
2026-03-11 02:00:00,27.4 V
2026-03-11 05:00:00,27.3 V
2026-03-11 08:00:00,27.3 V
2026-03-11 11:00:00,27.4 V
2026-03-11 14:00:00,27.5 V
2026-03-11 17:00:00,27.4 V
2026-03-11 20:00:00,27.3 V
2026-03-11 23:00:00,27.2 V
2026-03-12 02:00:00,27.1 V
2026-03-12 05:00:00,27.0 V
2026-03-12 08:00:00,26.6 V
2026-03-12 11:00:00,26.1 V
2026-03-12 14:00:00,25.6 V
2026-03-12 17:00:00,
