"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-12 07:20:00,-858 Wh,0 Wh,-3.74 kWh,-623 Wh,-5.86 kWh,8.16 kWh
2026-03-12 07:30:00,-859 Wh,0 Wh,-3.74 kWh,-624 Wh,-5.86 kWh,8.16 kWh
2026-03-12 07:40:00,-859 Wh,0 Wh,-3.75 kWh,-625 Wh,-5.86 kWh,8.17 kWh
2026-03-12 07:50:00,-860 Wh,0 Wh,-3.75 kWh,-626 Wh,-5.86 kWh,8.17 kWh
2026-03-12 08:00:00,-861 Wh,0 Wh,-3.76 kWh,-626 Wh,-5.86 kWh,8.17 kWh
2026-03-12 08:10:00,-862 Wh,0 Wh,-3.76 kWh,-627 Wh,-5.86 kWh,8.18 kWh
2026-03-12 08:20:00,-862 Wh,0 Wh,-3.77 kWh,-628 Wh,-5.86 kWh,8.19 kWh
2026-03-12 08:30:00,-863 Wh,0 Wh,-3.77 kWh,-628 Wh,-5.88 kWh,8.19 kWh
2026-03-12 08:40:00,-864 Wh,0 Wh,-3.77 kWh,-629 Wh,-5.93 kWh,8.20 kWh
2026-03-12 08:50:00,-865 Wh,0 Wh,-3.78 kWh,-630 Wh,-6.01 kWh,8.21 kWh
2026-03-12 09:00:00,-867 Wh,0 Wh,-3.78 kWh,-631 Wh,-6.10 kWh,8.23 kWh
2026-03-12 09:10:00,-868 Wh,0 Wh,-3.79 kWh,-631 Wh,-6.20 kWh,8.24 kWh
2026-03-12 09:20:00,-869 Wh,0 Wh,-3.79 kWh,-632 Wh,-6.29 kWh,8.25 kWh
2026-03-12 09:30:00,-870 Wh,0 Wh,-3.80 kWh,-633 Wh,-6.38 kWh,8.27 kWh
2026-03-12 09:40:00,-872 Wh,0 Wh,-3.80 kWh,-633 Wh,-6.46 kWh,8.29 kWh
2026-03-12 09:50:00,-873 Wh,0 Wh,-3.81 kWh,-634 Wh,-6.51 kWh,8.31 kWh
2026-03-12 10:00:00,-874 Wh,0 Wh,-3.81 kWh,-635 Wh,-6.57 kWh,8.33 kWh
2026-03-12 10:10:00,-875 Wh,0 Wh,-3.82 kWh,-636 Wh,-6.62 kWh,8.35 kWh
2026-03-12 10:20:00,-876 Wh,0 Wh,-3.82 kWh,-636 Wh,-6.68 kWh,8.38 kWh
2026-03-12 10:30:00,-877 Wh,0 Wh,-3.83 kWh,-637 Wh,-6.77 kWh,8.40 kWh
2026-03-12 10:40:00,-879 Wh,0 Wh,-3.83 kWh,-638 Wh,-6.88 kWh,8.43 kWh
2026-03-12 10:50:00,-880 Wh,0 Wh,-3.84 kWh,-638 Wh,-6.99 kWh,8.46 kWh
2026-03-12 11:00:00,-881 Wh,0 Wh,-3.84 kWh,-639 Wh,-7.10 kWh,8.49 kWh
2026-03-12 11:10:00,-882 Wh,0 Wh,-3.84 kWh,-640 Wh,-7.21 kWh,8.51 kWh
2026-03-12 11:20:00,-883 Wh,0 Wh,-3.85 kWh,-641 Wh,-7.33 kWh,8.55 kWh
2026-03-12 11:30:00,-884 Wh,0 Wh,-3.85 kWh,-641 Wh,-7.44 kWh,8.57 kWh
2026-03-12 11:40:00,-885 Wh,0 Wh,-3.85 kWh,-642 Wh,-7.56 kWh,8.60 kWh
2026-03-12 11:50:00,-886 Wh,0 Wh,-3.86 kWh,-643 Wh,-7.68 kWh,8.64 kWh
2026-03-12 12:00:00,-887 Wh,0 Wh,-3.86 kWh,-644 Wh,-7.79 kWh,8.67 kWh
2026-03-12 12:10:00,-888 Wh,0 Wh,-3.87 kWh,-644 Wh,-7.90 kWh,8.70 kWh
2026-03-12 12:20:00,-890 Wh,0 Wh,-3.87 kWh,-645 Wh,-8.02 kWh,8.73 kWh
2026-03-12 12:30:00,-891 Wh,0 Wh,-3.88 kWh,-646 Wh,-8.13 kWh,8.77 kWh
2026-03-12 12:40:00,-891 Wh,0 Wh,-3.88 kWh,-646 Wh,-8.13 kWh,8.80 kWh
2026-03-12 12:50:00,-892 Wh,0 Wh,-3.89 kWh,-647 Wh,-8.13 kWh,8.84 kWh
2026-03-12 13:00:00,-893 Wh,0 Wh,-3.89 kWh,-648 Wh,-8.13 kWh,8.87 kWh
2026-03-12 13:10:00,-894 Wh,0 Wh,-3.90 kWh,-649 Wh,-8.19 kWh,8.91 kWh
2026-03-12 13:20:00,-895 Wh,0 Wh,-3.90 kWh,-649 Wh,-8.33 kWh,8.94 kWh
2026-03-12 13:30:00,-896 Wh,0 Wh,-3.90 kWh,-650 Wh,-8.47 kWh,8.97 kWh
2026-03-12 13:40:00,-897 Wh,0 Wh,-3.91 kWh,-651 Wh,-8.61 kWh,9.00 kWh
2026-03-12 13:50:00,-898 Wh,0 Wh,-3.91 kWh,-651 Wh,-8.75 kWh,9.03 kWh
2026-03-12 14:00:00,-900 Wh,0 Wh,-3.92 kWh,-652 Wh,-8.89 kWh,9.06 kWh
2026-03-12 14:10:00,-901 Wh,0 Wh,-3.92 kWh,-653 Wh,-9.02 kWh,9.09 kWh
2026-03-12 14:20:00,-902 Wh,0 Wh,-3.93 kWh,-654 Wh,-9.16 kWh,9.12 kWh
2026-03-12 14:30:00,-903 Wh,0 Wh,-3.93 kWh,-655 Wh,-9.29 kWh,9.14 kWh
2026-03-12 14:40:00,-904 Wh,0 Wh,-3.94 kWh,-655 Wh,-9.43 kWh,9.17 kWh
2026-03-12 14:50:00,-906 Wh,0 Wh,-3.95 kWh,-656 Wh,-9.56 kWh,9.19 kWh
2026-03-12 15:00:00,-907 Wh,0 Wh,-3.95 kWh,-657 Wh,-9.68 kWh,9.22 kWh
2026-03-12 15:10:00,-908 Wh,0 Wh,-3.96 kWh,-658 Wh,-9.76 kWh,9.25 kWh
2026-03-12 15:20:00,-909 Wh,0 Wh,-3.96 kWh,-659 Wh,-9.81 kWh,9.27 kWh
2026-03-12 15:30:00,-909 Wh,0 Wh,-3.97 kWh,-660 Wh,-9.82 kWh,9.29 kWh
2026-03-12 15:40:00,-910 Wh,0 Wh,-3.98 kWh,-661 Wh,-9.83 kWh,9.32 kWh
2026-03-12 15:50:00,-911 Wh,0 Wh,-3.98 kWh,-662 Wh,-9.83 kWh,9.34 kWh
2026-03-12 16:00:00,-911 Wh,0 Wh,-3.99 kWh,-662 Wh,-9.83 kWh,9.36 kWh
2026-03-12 16:10:00,-912 Wh,0 Wh,-3.99 kWh,-663 Wh,-9.83 kWh,9.36 kWh
2026-03-12 16:20:00,-913 Wh,0 Wh,-4.00 kWh,-664 Wh,-9.83 kWh,9.37 kWh
2026-03-12 16:30:00,-913 Wh,0 Wh,-4.01 kWh,-665 Wh,-9.83 kWh,9.37 kWh
2026-03-12 16:40:00,-913 Wh,0 Wh,-4.01 kWh,-665 Wh,-9.83 kWh,9.37 kWh
2026-03-12 16:50:00,-913 Wh,0 Wh,-4.01 kWh,-665 Wh,-9.83 kWh,9.37 kWh
2026-03-12 17:00:00,-913 Wh,0 Wh,-4.01 kWh,-665 Wh,-9.83 kWh,9.37 kWh
