"Time","POB","VPB","Core Load Switches","Payload Load Switches","Motor","Solar"
2026-03-11 03:20:00,-680 Wh,0 Wh,-3.03 kWh,-503 Wh,-4.68 kWh,6.57 kWh
2026-03-11 03:30:00,-681 Wh,0 Wh,-3.03 kWh,-503 Wh,-4.69 kWh,6.57 kWh
2026-03-11 03:40:00,-682 Wh,0 Wh,-3.04 kWh,-504 Wh,-4.70 kWh,6.57 kWh
2026-03-11 03:50:00,-683 Wh,0 Wh,-3.04 kWh,-505 Wh,-4.71 kWh,6.57 kWh
2026-03-11 04:00:00,-684 Wh,0 Wh,-3.05 kWh,-506 Wh,-4.72 kWh,6.57 kWh
2026-03-11 04:10:00,-685 Wh,0 Wh,-3.05 kWh,-506 Wh,-4.73 kWh,6.58 kWh
2026-03-11 04:20:00,-686 Wh,0 Wh,-3.06 kWh,-507 Wh,-4.74 kWh,6.58 kWh
2026-03-11 04:30:00,-687 Wh,0 Wh,-3.06 kWh,-508 Wh,-4.74 kWh,6.58 kWh
2026-03-11 04:40:00,-688 Wh,0 Wh,-3.07 kWh,-508 Wh,-4.75 kWh,6.58 kWh
2026-03-11 04:50:00,-689 Wh,0 Wh,-3.07 kWh,-509 Wh,-4.76 kWh,6.58 kWh
2026-03-11 05:00:00,-690 Wh,0 Wh,-3.07 kWh,-510 Wh,-4.77 kWh,6.58 kWh
2026-03-11 05:10:00,-691 Wh,0 Wh,-3.08 kWh,-511 Wh,-4.78 kWh,6.59 kWh
2026-03-11 05:20:00,-693 Wh,0 Wh,-3.08 kWh,-511 Wh,-4.78 kWh,6.59 kWh
2026-03-11 05:30:00,-694 Wh,0 Wh,-3.09 kWh,-512 Wh,-4.79 kWh,6.59 kWh
2026-03-11 05:40:00,-695 Wh,0 Wh,-3.09 kWh,-513 Wh,-4.80 kWh,6.59 kWh
2026-03-11 05:50:00,-696 Wh,0 Wh,-3.10 kWh,-513 Wh,-4.80 kWh,6.59 kWh
2026-03-11 06:00:00,-697 Wh,0 Wh,-3.10 kWh,-514 Wh,-4.81 kWh,6.60 kWh
2026-03-11 06:10:00,-698 Wh,0 Wh,-3.11 kWh,-515 Wh,-4.82 kWh,6.60 kWh
2026-03-11 06:20:00,-699 Wh,0 Wh,-3.11 kWh,-516 Wh,-4.82 kWh,6.60 kWh
2026-03-11 06:30:00,-700 Wh,0 Wh,-3.11 kWh,-516 Wh,-4.83 kWh,6.60 kWh
2026-03-11 06:40:00,-701 Wh,0 Wh,-3.11 kWh,-517 Wh,-4.84 kWh,6.60 kWh
2026-03-11 06:50:00,-702 Wh,0 Wh,-3.12 kWh,-518 Wh,-4.84 kWh,6.61 kWh
2026-03-11 07:00:00,-703 Wh,0 Wh,-3.12 kWh,-518 Wh,-4.85 kWh,6.61 kWh
2026-03-11 07:10:00,-704 Wh,0 Wh,-3.13 kWh,-519 Wh,-4.86 kWh,6.61 kWh
2026-03-11 07:20:00,-705 Wh,0 Wh,-3.13 kWh,-520 Wh,-4.86 kWh,6.61 kWh
2026-03-11 07:30:00,-706 Wh,0 Wh,-3.14 kWh,-521 Wh,-4.87 kWh,6.61 kWh
2026-03-11 07:40:00,-707 Wh,0 Wh,-3.14 kWh,-521 Wh,-4.88 kWh,6.62 kWh
2026-03-11 07:50:00,-709 Wh,0 Wh,-3.14 kWh,-522 Wh,-4.88 kWh,6.62 kWh
2026-03-11 08:00:00,-710 Wh,0 Wh,-3.15 kWh,-523 Wh,-4.89 kWh,6.62 kWh
2026-03-11 08:10:00,-711 Wh,0 Wh,-3.15 kWh,-523 Wh,-4.90 kWh,6.63 kWh
2026-03-11 08:20:00,-712 Wh,0 Wh,-3.16 kWh,-524 Wh,-4.90 kWh,6.64 kWh
2026-03-11 08:30:00,-713 Wh,0 Wh,-3.16 kWh,-525 Wh,-4.91 kWh,6.64 kWh
2026-03-11 08:40:00,-714 Wh,0 Wh,-3.17 kWh,-526 Wh,-4.92 kWh,6.65 kWh
