"Time","Motor"
2026-01-22 13:20:00,48.2 Wh
2026-01-22 13:30:00,48.1 Wh
2026-01-22 13:40:00,48.4 Wh
2026-01-22 13:50:00,49.1 Wh
2026-01-22 14:00:00,15.2 Wh
2026-01-22 14:10:00,0 Wh
2026-01-22 14:20:00,0 Wh
2026-01-22 14:30:00,0 Wh
2026-01-22 14:40:00,0 Wh
2026-01-22 14:50:00,0 Wh
2026-01-22 15:00:00,0 Wh
2026-01-22 15:10:00,0 Wh
2026-01-22 15:20:00,0 Wh
2026-01-22 15:30:00,0 Wh
2026-01-22 15:40:00,0 Wh
2026-01-22 15:50:00,0 Wh
2026-01-22 16:00:00,0 Wh
2026-01-22 16:10:00,0 Wh
2026-01-22 16:20:00,0 Wh
2026-01-22 16:30:00,0 Wh
2026-01-22 16:40:00,0 Wh
2026-01-22 16:50:00,0 Wh
2026-01-22 17:00:00,0 Wh
2026-01-22 17:10:00,0 Wh
2026-01-22 17:20:00,0 Wh
2026-01-22 17:30:00,0 Wh
2026-01-22 17:40:00,0 Wh
2026-01-22 17:50:00,0 Wh
2026-01-22 18:00:00,0 Wh
2026-01-22 18:10:00,0 Wh
2026-01-22 18:20:00,0 Wh
2026-01-22 18:30:00,0 Wh
2026-01-22 18:40:00,0 Wh
2026-01-22 18:50:00,0 Wh
2026-01-22 19:00:00,0 Wh
2026-01-22 19:10:00,0 Wh
2026-01-22 19:20:00,0 Wh
2026-01-22 19:30:00,0 Wh
2026-01-22 19:40:00,0 Wh
2026-01-22 19:50:00,0 Wh
2026-01-22 20:00:00,0 Wh
2026-01-22 20:10:00,0 Wh
2026-01-22 20:20:00,0 Wh
2026-01-22 20:30:00,0 Wh
2026-01-22 20:40:00,0 Wh
2026-01-22 20:50:00,0 Wh
2026-01-22 21:00:00,0 Wh
2026-01-22 21:10:00,0 Wh
2026-01-22 21:20:00,0 Wh
2026-01-22 21:30:00,0 Wh
2026-01-22 21:40:00,0 Wh
2026-01-22 21:50:00,0 Wh
2026-01-22 22:00:00,0 Wh
2026-01-22 22:10:00,0 Wh
2026-01-22 22:20:00,0 Wh
2026-01-22 22:30:00,0 Wh
2026-01-22 22:40:00,1.51 Wh
2026-01-22 22:50:00,3.82 Wh
2026-01-22 23:00:00,0 Wh
2026-01-22 23:10:00,0 Wh
2026-01-22 23:20:00,0 Wh
2026-01-22 23:30:00,0 Wh
2026-01-22 23:40:00,0 Wh
2026-01-22 23:50:00,4.37 Wh
2026-01-23 00:00:00,19.6 Wh
2026-01-23 00:10:00,19.6 Wh
2026-01-23 00:20:00,19.6 Wh
2026-01-23 00:30:00,19.5 Wh
2026-01-23 00:40:00,20.0 Wh
2026-01-23 00:50:00,20.2 Wh
2026-01-23 01:00:00,20.3 Wh
2026-01-23 01:10:00,20.1 Wh
2026-01-23 01:20:00,20.8 Wh
2026-01-23 01:30:00,20.3 Wh
2026-01-23 01:40:00,20.4 Wh
2026-01-23 01:50:00,20.3 Wh
2026-01-23 02:00:00,19.7 Wh
2026-01-23 02:10:00,19.8 Wh
2026-01-23 02:20:00,20.3 Wh
2026-01-23 02:30:00,20.3 Wh
2026-01-23 02:40:00,20.3 Wh
2026-01-23 02:50:00,20.0 Wh
2026-01-23 03:00:00,19.9 Wh
2026-01-23 03:10:00,6.57 Wh
2026-01-23 03:20:00,0 Wh
2026-01-23 03:30:00,0 Wh
2026-01-23 03:40:00,0 Wh
2026-01-23 03:50:00,0 Wh
2026-01-23 04:00:00,0 Wh
2026-01-23 04:10:00,0 Wh
2026-01-23 04:20:00,0 Wh
2026-01-23 04:30:00,0 Wh
2026-01-23 04:40:00,0 Wh
2026-01-23 04:50:00,0 Wh
2026-01-23 05:00:00,0 Wh
2026-01-23 05:10:00,0 Wh
2026-01-23 05:20:00,0 Wh
2026-01-23 05:30:00,0 Wh
2026-01-23 05:40:00,0 Wh
2026-01-23 05:50:00,0 Wh
2026-01-23 06:00:00,0 Wh
2026-01-23 06:10:00,0 Wh
2026-01-23 06:20:00,0 Wh
2026-01-23 06:30:00,0 Wh
2026-01-23 06:40:00,0 Wh
2026-01-23 06:50:00,0 Wh
2026-01-23 07:00:00,0 Wh
2026-01-23 07:10:00,0 Wh
2026-01-23 07:20:00,17.9 Wh
2026-01-23 07:30:00,18.4 Wh
2026-01-23 07:40:00,8.28 Wh
2026-01-23 07:50:00,0 Wh
2026-01-23 08:00:00,0 Wh
2026-01-23 08:10:00,0 Wh
2026-01-23 08:20:00,0 Wh
